       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      326.083        204.538              0       -664.838      -0.946522         -10448       -2.17534    -0.00347102       -34.1712         7.1154
      325.542        52.7238              0        3105.63        -27.422       -24302.7        10.1575     -0.0883548       -79.4969        13.3861
      325.542       -88.6615              0       -3642.97       -53.3532        27524.9       -11.9154      -0.168611         89.931        13.3778
      325.542        -200.71              0       -1573.12       -64.6234        10759.1       -5.14663       -0.21161        35.2062        8.21455
      11.9867        325.542              0       -69.8288        1558.33       -11927.4      -0.227978        5.09562       -39.0038        15.5519
      325.542       -125.336              0       -3430.21       -115.935        22632.3       -11.2238      -0.379659         74.091        14.5205
      325.542       -58.7156              0       -3587.85        95.3357        24112.7       -11.7355       0.312913        78.9203        13.2011
      326.083        136.941              0       -1323.84       -120.072       -18148.8       -4.33134      -0.391993       -59.3752        7.57011
     -325.542       -279.005              0        565.216        18.9121        4110.89        1.84912      0.0619465        13.4461        18.3719
      167.917        325.542              0       -4.94554        1029.45       -7988.99     -0.0144599        3.36567       -26.1606        16.6471
      125.506        325.542              0       -177.287        1295.84       -10342.9      -0.580632         4.2417       -33.8371        12.3015
     -83.9107       -325.542              0         101.18           1784        9301.86       0.329883        5.83827        30.4479        10.3058
      264.316       -326.083              0       -9.21787       -253.648        4344.37     -0.0299056      -0.829773        14.2267        33.0251
      326.083        89.5592              0       -523.532        344.343       -26081.9       -1.71274         1.1285         -85.36        13.9351
      277.178       -325.542              0        6.85804        513.239        3747.74      0.0211696        1.67617        12.2701        16.5274
      326.083        34.4419              0       -861.651       -46.8374       -16427.2       -2.81579      -0.153057       -53.7522        8.83531
      325.542        9.09477              0         394.83       -25.3219       -4525.01         1.2928     -0.0804782       -14.8158        13.1892
     -26.3324       -325.542              0        9.81532         1293.1          11054      0.0328049        4.23892        36.1584        8.77183
      157.092       -325.542              0        80.5003        1598.63        11048.4       0.263297        5.23025        36.1411        11.2185
      325.542       -259.658              0       -832.183       -1.02638        4712.14       -2.72307    -0.00335309        15.4228        14.3828
     -325.542       -54.5887              0        2957.67        583.064        23782.5        9.67808        1.90395        77.8017        13.3519
      74.6505       -325.542              0        105.182        1656.64        12110.5        0.34442         5.4192        39.6103        11.4733
     -325.542        -21.856              0        1861.86       -90.5906        12264.5        6.08727      -0.295608        40.0883         13.213
     -325.542        256.238              0       -623.296       -13.9847       -5257.96       -2.03876     -0.0457466       -17.1945        8.85147
     -165.936       -325.542              0        31.4145        1450.85        8788.11       0.102935         4.7512        28.8042        11.6429
      195.214       -325.542              0        54.6856        1292.31        8517.04       0.179416        4.22849        27.8673        18.0316
