       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      366.195       -170.758              0       -0.55352       0.933232        767.827   -0.000117149    0.000203636       0.151613        137.508
       363.37        65.2122              0       -2961.93        193.182       -40980.2      -0.584298        0.03771       -8.08646        9.16718
      366.133        26.0687              0       -325.828        12.6718        18914.3     -0.0639437      0.0029902        3.73032          7.997
      450.863        190.843              0        1.66797        1.48191        2.77782    0.000329626    0.000292725    0.000546503        376.496
      406.335       -173.616              0      -0.584376      -0.386517          347.9   -0.000116322  -7.44911e-005      0.0685937        152.364
      373.784       -183.397              0      -0.251854        1.34318        378.693   -5.8825e-005    0.000278487      0.0747187        263.405
      419.814       -190.913              0        1.63079       -2.70619        82.6269    0.000326508   -0.000536118      0.0162675        344.237
      428.005       -3.44901              0       -7.60714       -4.51817       -1697.04    -0.00152275   -0.000929453      -0.334718        96.9786
      366.756       -4.39922              0       -1186.73        470.234        84845.8      -0.233407      0.0908248        16.7243        8.17619
      455.352        -95.109              0        -1.4221       0.783075        -165.99   -0.000271473    0.000151954     -0.0327067        136.905
      370.858       -147.563              0       -2.40063       0.805433       -1560.89   -0.000461616    0.000156493      -0.307496        103.985
      455.068       -115.819              0       -1.12176       0.837535        128.255   -0.000263096    0.000170657      0.0254766         152.61
      365.911        101.279              0        2.62717      -0.254996       -4319.75    0.000533262  -7.74697e-006      -0.851872        27.0846
      362.659         77.603              0        24.6606       -32.4404       -14167.8     0.00453752    -0.00645096       -2.79143        13.3151
      368.494        193.243              0       0.708991       -2.30617        115.794    0.000157883   -0.000467484      0.0228734        227.891
      453.818        136.142              0       0.920887      -0.082979        48.9474    0.000181992  -1.74604e-005     0.00965383        205.536
      456.115        76.9907              0        1.79999     -0.0391669        31.0726    0.000349451  -6.49137e-006     0.00614773        114.013
       367.66        74.0568              0        14.9906       -1.84375         -12141     0.00310269   -0.000197425       -2.39484        13.6908
      446.607        149.068              0       0.588968       -1.13995       -82.7169    0.000122288   -0.000226501     -0.0163385        310.592
      455.114        55.1467              0       -4.05297        -5.7456       -13.7086   -0.000806391    -0.00112223    -0.00264147        142.275
      373.151        70.4093              0       -15.4083        17.7844        8956.71    -0.00327427     0.00360845        1.76586        11.8161
      365.627        86.5839              0        2.56244        3.08491       -7665.63     0.00065397    0.000823947       -1.51239        21.5824
       363.23        56.9019              0       -6422.71        -172.55       -59298.4        -1.2672     -0.0335735       -11.6972        7.43081
      376.215       -66.2739              0        51.2506      -0.682853        17843.3     0.00993499   -0.000263511        3.51708        14.5712
      454.731        114.768              0       0.725792     0.00414604       -52.0007    0.000145655  -4.42804e-006     -0.0102396        163.886
      362.606        72.3741              0       -123.068       -455.886       -21510.9     -0.0245227     -0.0898691       -4.24534        12.5232
      433.442        147.703              0       0.165001       -1.44443        -186.49   3.04439e-005    -0.00028206        -0.0368         309.58
      419.083        189.956              0         1.0816      -0.966276       -56.0865    0.000213311   -0.000183505     -0.0110986        382.837
      429.478        178.278              0       -1.74898      -0.209737       -85.2038   -0.000342855   -4.4271e-005      -0.016835        351.689
      454.849        96.7386              0         0.7086      -0.479319        51.3965    0.000134421  -9.19672e-005      0.0101431        154.394
      364.265        74.7272              0        97.5259        73.7484       -15255.6      0.0195765      0.0150305       -3.00911        12.6347
      371.018        93.4319              0        1.63448         2.4837        -4701.7    0.000307397    0.000621617      -0.926982        23.3669
      394.987       -194.248              0        1.54943        1.86521         92.225    0.000301712    0.000369277      0.0182081        206.854
          455        -137.19              0     -0.0297803        2.26701       -86.8975  -7.31039e-006    0.000444382     -0.0171308        167.422
      373.615       -20.7573              0        -124.42        72.8006        43952.1     -0.0246793      0.0147232        8.66522        19.8797
      364.521        80.3454              0        12.0741        16.4698       -10792.7      0.0023015      0.0026003       -2.12731        16.9118
      384.602       -184.403              0       0.461285        0.22253       -300.818   9.04549e-005   4.71505e-005     -0.0593265        205.007
      443.651        179.165              0       0.618843        1.46746        35.8634    0.000109923    0.000291391     0.00704772        400.814
      365.484        22.8404              0        -152.66        172.521       -33090.9     -0.0305155      0.0336809       -6.52831         6.5177
      368.251       -121.282              0        2.07465        5.84278        3476.55    0.000416286      0.0011124       0.685534        58.0748
      362.889         49.123              0       -6927.51       -26.7124        72278.9       -1.36577    -0.00499517        14.2442         5.7132
       372.29        109.502              0       0.454475        1.75432        2773.94   9.86455e-005    0.000368794       0.547102        56.0615
       369.32        47.0416              0        130.137        90.5314        17788.7      0.0253087      0.0177915        3.51109        7.34123
      362.141        36.3501              0        10416.8        180.351        43710.5        2.05436      0.0347329        8.61916        6.40131
      363.159        38.2637              0       -5789.34       -964.208        37213.1         -1.141      -0.189486        7.33776         6.2617
      361.979       -11.6903              0       -66201.6        4997.61         286047       -13.0545       0.984895        56.3855        5.36479
       365.49       -13.5268              0       -510.838        1353.96         114112      -0.100024       0.268746        22.4986        5.73901
       436.45       -39.4547              0       -3.54121       -3.39203       -1420.16   -0.000692809   -0.000681893      -0.280018        133.108
      398.967       -155.935              0      -0.550693       0.263026       -747.353   -0.000116871   4.31066e-005      -0.147364        197.172
      374.003        96.4788              0        1.37043       -2.41762       -3787.66    0.000261487    -0.00040717      -0.746254        22.7407
      361.949        10.3558              0       -49549.7       -2302.07        -209445       -9.76716      -0.455642       -41.2973        5.09817
      363.163        12.2835              0        18411.5       -1097.95         128009        3.62673      -0.213584        25.2564        5.98174
      362.159       -59.0028              0       -33779.6       -366.371         131391       -6.65361     -0.0717529        25.9031        6.89787
      454.586       -20.2521              0       -4.87977       0.482037        275.656   -0.000963719   6.00729e-005      0.0543202        151.834
      456.024       -1.01423              0       -1.86009         1.9775         161.06   -0.000368589    0.000405872      0.0317063         111.52
      363.299        15.8741              0        10998.6        1471.47        97930.6        2.16733       0.286055         19.307        5.93349
       363.22       -16.9314              0          23668        523.407         195702        4.66416       0.109418         38.621        6.32439
      451.174        7.62894              0       -2.62079       -2.28423        313.245   -0.000521166   -0.000451803       0.061718        111.449
       365.26       -36.0811              0       -195.523        142.183        -113737     -0.0363263      0.0268675       -22.4109        6.48266
      364.931       -53.0171              0        -511.92        760.613         -84832      -0.103945       0.151264       -16.7304        6.19278
       380.66       -90.3336              0       -5.79496        2.87419        6656.46    -0.00115684    0.000548536        1.31308        34.3513
       450.61       -10.9176              0        -1.8479        3.01646        442.645   -0.000347604    0.000597782      0.0870838        141.252
      441.803       -47.7612              0       -1.60088        4.22801         1024.4   -0.000328298    0.000858677       0.202134        101.538
      362.171        -33.714              0       -57011.4       -2259.53         282428       -11.2459      -0.440918         55.701        6.45562
       452.39       -160.933              0     -0.0225431       -2.31404        69.2478  -6.64467e-006   -0.000460971      0.0136587         277.18
      450.811       -66.4601              0       -3.00424      -0.113485       -435.776   -0.000590524  -1.57146e-005     -0.0859327         153.82
      365.268       -42.8453              0       -971.056       -494.477        -104399      -0.191346     -0.0969406       -20.5812        4.28914
      450.801         -85.74              0       -2.73917       -0.59066       -361.553   -0.000572561   -0.000107281     -0.0712732        112.892
      362.065       -47.9388              0       -57327.5       -1686.07         213835       -11.3018      -0.331853        42.1503        5.70911
      362.862        83.5963              0      -0.459891       -3.98078       -10040.3    0.000200883    -0.00082593       -1.98165        17.4917
      366.754        170.635              0       0.303758       0.648947        -538.64   5.81692e-005    0.000130223      -0.106248        152.462
      363.765        90.0414              0       -1.13243      -0.773371        -7168.4    -0.00022001   -0.000129925       -1.41404        28.9814
      368.442        121.371              0        3.86463        10.1941       -2221.12    0.000761134     0.00202454       -0.43857        63.4262
      362.323        67.6727              0        6772.32       -1290.35       -41966.9        1.33532      -0.254317       -8.28334        9.40563
      369.147        146.239              0      -0.977189       -3.64329        1105.96   -0.000199155   -0.000732629       0.218229        81.1779
       365.46       -6.64374              0       -191.292       -1202.27         107529     -0.0402706      -0.237827        21.1938        8.89421
      363.928        69.8938              0        294.939        55.5172       -24030.6      0.0577612      0.0115063       -4.74356        9.21145
       361.81         47.283              0        24898.8        1095.77         103943        4.90917       0.217756        20.4884         4.5009
      406.632       -185.161              0         1.6151        1.55248         195.26    0.000316267    0.000308613      0.0384954        289.332
      407.966        182.248              0       -1.06658      -0.647237       -135.792   -0.000215307   -0.000129871     -0.0267934        238.724
      452.788        161.951              0      -0.481793      -0.994941       -31.9091   -9.3687e-005   -0.000195649    -0.00630647        261.499
       450.42       -105.026              0       0.591798       -3.59654        292.466    0.000123927   -0.000722807      0.0578309        157.452
      368.589       -193.242              0       0.295988        2.04387       -173.236   6.87501e-005    0.000410288     -0.0341795        230.779
      361.961       -51.4617              0       -42000.6       -4566.75         205562        -8.2821      -0.902084        40.5242        5.21823
      363.171       -39.2819              0        27936.1       -1037.84        -186917        5.50817      -0.204122       -36.8552         4.7678
      365.888       -140.252              0       -5.50892       0.560538        2066.21    -0.00109914    0.000116646       0.407484        100.983
      450.999       -190.935              0       -1.36529        1.14513        2.45593    -0.00027163    0.000228107    0.000489666         367.18
      450.418         44.681              0        6.38069        -7.3078       -75.7453     0.00123428    -0.00143855     -0.0148372        133.887
      396.634        192.292              0      -0.274395      -0.207943       -73.5913  -5.25184e-005   -4.1771e-005     -0.0145103        273.975
      362.179        54.8688              0          22052       -577.429        88206.1        4.34947      -0.113727        17.3955        6.87164
      451.228        66.1781              0      -0.208797       0.723748        32.8021  -5.31705e-005      0.0001492     0.00650038        175.322
      450.068       -126.244              0        3.45216      -0.332418        198.466    0.000641518  -4.54913e-005       0.039373        157.604
      362.214        14.0051              0       -38112.7       -1940.69         161595       -7.51388      -0.385991         31.875        6.55731
      362.018        40.1019              0        18467.1       -746.281       -71811.7        3.64032       -0.14842       -14.1609        5.58197
      362.079         51.106              0        26688.9         191.69       -97574.9        5.26423      0.0374585       -19.2534        6.12004
      383.225       -138.307              0        2.88176       -2.15154       -1606.06    0.000573623   -0.000400749      -0.316894        58.8866
      450.454        25.7834              0      -0.586519        2.49552        200.228   -0.000108972    0.000484682      0.0394144        135.024
      365.239         5.0781              0       -561.751        968.078         -93376      -0.110589       0.190127       -18.4071        4.91315
      362.134         43.716              0        21296.9        1880.96       -88882.6         4.1992       0.371632       -17.5246        6.22928
      455.362       -56.5847              0        -3.4892     -0.0357537        -234.43   -0.000684135   -1.6742e-005     -0.0462559        131.792
      366.625         10.161              0        248.109        108.925       -64274.2      0.0490953       0.020687       -12.6745         5.9469
       365.72       -27.8146              0       -878.576       -229.894         111657      -0.172277     -0.0464103        22.0153         8.3444
      395.623       -133.386              0        1.97764      -0.246345        1470.99    0.000400392  -3.00931e-005       0.290046        98.1615
      365.193         45.491              0       -98.9263       -157.737       -35500.2     -0.0199249     -0.0305047       -6.99967         6.5111
      365.173        38.4019              0        186.567       -249.639        21524.2      0.0374798     -0.0493587        4.24397        5.47279
      362.048        62.9326              0        13144.4        162.773       -66438.2        2.59284      0.0316149       -13.1054        6.81767
       366.13       -60.8552              0       -46.4607        311.986          52292    -0.00890962      0.0619446        10.3113        11.0027
      366.777       -65.0385              0       -110.233       -57.7409       -38877.6     -0.0223686     -0.0113195       -7.67136        7.72224
      364.438       -80.4554              0       -10.8827        12.0219        18186.1    -0.00222339     0.00245057        3.58802        14.0185
       415.16       -85.6748              0       -6.98105        4.25452        2321.25    -0.00130496    0.000820184       0.457803        77.6416
      363.351        -61.131              0         7202.6        301.925       -85298.7        1.42029      0.0590667       -16.8204        8.01969
