       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      447.429         481.02              0        1.23128       -1.29597       -23.2996     0.00579374     -0.0061036      -0.109598        2586.17
      335.552       -96.7158              0        1810.81        317.904        11312.7        8.51953        1.49577        53.2228        141.713
      352.332        330.516              0       -61.1558       -31.9117       -1102.49       -0.28773      -0.150107        -5.1869        735.598
      488.569        179.448              0      -0.379797      0.0931433       -93.6047    -0.00178769    0.000438413      -0.440395        789.963
      333.111       -47.7478              0        657.984       -285.079        9914.51        3.09608       -1.34095        46.6453        110.199
       333.67      -0.244468              0        37.6999        21.1421        52.7893       0.177402      0.0994807       0.248126        101.284
      330.602       -105.122              0       -3893.94        43.4762        17254.7       -18.3199       0.204475        81.1786        143.444
      487.622       -180.231              0      -0.732565       -2.04572        99.8428    -0.00344641    -0.00961746       0.469731         856.81
        329.1        -55.943              0       -4050.47       -26.4191       -16278.4       -19.0565      -0.124297       -76.5861        98.6998
      334.245       -64.4098              0        1682.88        416.806       -12020.4        7.91773        1.96101       -56.5529        107.364
      336.079       -114.438              0        1120.89       -91.1742       -10613.2        5.27372      -0.429082       -49.9325          150.6
      330.145       -71.9726              0       -3818.69        269.784       -17023.3       -17.9661        1.26921       -80.0908        125.258
      484.802       -277.684              0       -1.65666       -1.10042       -87.0245    -0.00779164    -0.00518087       -0.40943        1190.55
      346.564       -131.982              0       -2.30833        38.1406        6018.93     -0.0108567       0.179467        28.3174         156.68
      456.934        113.268              0        1.55911        0.13962       -381.291     0.00733881    0.000657781       -1.79384        731.404
      400.691       -3.48467              0        2.06462       -8.24881       -82.3408     0.00972162     -0.0388405      -0.387413        284.821
      329.809       -7.83171              0       -616.537        208.293        2548.02       -2.90056       0.979861        11.9878        115.141
      490.122        89.4132              0        1.63325        0.62042       -70.3636     0.00768888      0.0029269      -0.331058        654.662
      473.923        200.672              0       0.415587        1.17368       -208.413     0.00195533     0.00552083      -0.980535        751.629
      454.619       -22.3014              0       -1.39648      -0.331559       -109.678    -0.00657362    -0.00157852      -0.515962        710.275
      329.649        24.3326              0         1871.6        279.531        7913.88        8.80517        1.31512        37.2332        111.323
      329.856        40.1941              0        3092.09         50.183       -11620.7        14.5476       0.236125       -54.6743        115.988
      333.571        48.6021              0       -746.033         -94.63       -9928.64       -3.50995      -0.445245       -46.7133        115.397
      333.511        15.9546              0       -676.738        26.8628        3875.54       -3.18383       0.126317         18.234        108.191
       367.04       -484.876              0      -0.910753        -1.0727        43.0485    -0.00428621    -0.00504857       0.202542        1904.39
      339.188        350.511              0        -68.107       -46.1677       -947.191      -0.320437       -0.21723       -4.45615        1064.13
