       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
       192.92            326              0       -97.3174        1237.85        4013.22     -0.0946524        1.18975        3.85606        566.924
      479.291            336              0       -24.7058       -332.934        -1301.4     -0.0237537      -0.319889       -1.25285        650.231
      376.334            326              0        94.2004        1348.91       -4075.15      0.0902771        1.29725       -3.91904        567.093
      455.327            326              0         -165.5        791.215       -2531.23      -0.159005         0.7604       -2.43615        569.967
     -45.2358            326              0       -6.91853        671.349        1803.82    -0.00717816       0.644604        1.73535        581.998
      314.319            336              0         -220.6       -430.218        2025.85      -0.212729      -0.414102        1.94475        647.336
      257.698            326              0       -111.176        1705.01       -5476.31      -0.105762        1.63768       -5.26553        565.579
      113.757            326              0        -86.674        1471.87        4618.73     -0.0837096        1.41377         4.4367        568.141
        53.57            336              0       -220.402       -396.373       -1400.57      -0.211393      -0.380833       -1.34354        643.347
      34.5495            326              0        82.3739        1013.32        2662.55      0.0794507       0.973368        2.56124        569.867
     -29.1473            336              0        -88.763       -268.982        -809.17     -0.0848665      -0.258106      -0.776735        651.814
      136.116            336              0         45.396       -394.776       -2260.22      0.0436139      -0.378789       -2.17208        645.306
      177.455            336              0        173.508       -619.802       -1883.67       0.166771      -0.595245       -1.81044        647.917
      -86.591            326              0        69.1673        220.908         724.86      0.0665849        0.21247       0.697029        603.406
     -71.5782            336              0       -93.0891       -124.338        535.614     -0.0896738      -0.119285        0.51527        675.576
     -5.10614            326              0        16.4979        938.437       -2382.16      0.0160516        0.90081       -2.28803        572.025
      12.3294            336              0        54.4981       -265.838        -999.26      0.0522958      -0.255509      -0.960227        642.614
      495.342            326              0       -52.5949        504.098       -1911.42     -0.0504835       0.484328       -1.83933        580.488
      74.1633            326              0        68.3137        1523.25       -3941.25      0.0655386        1.46352       -3.78199        569.407
      94.8353            336              0        29.1327       -252.641       -1918.67      0.0271764      -0.242626       -1.84166        644.181
      396.815            336              0        19.6459       -469.675        1917.08      0.0190737      -0.450641        1.84445        642.051
      153.323            326              0        2.23846        1982.65       -4999.37     0.00201811        1.90224       -4.80656        567.018
        225.1        341.679              0       -9.07174        -11.824        707.161    -0.00856764    -0.00788548       0.688678        280.887
       238.75        331.679              0       -179.688        -705.92       -3198.17      -0.172279      -0.677365       -3.07926        307.352
      336.818            326              0       -126.673        1379.74       -4747.32      -0.121347        1.32563       -4.56001        566.435
      297.273            326              0        44.8183        1547.96        4414.03      0.0433701        1.48607        4.23519        565.724
      272.927            336              0        80.5946       -579.924        -2406.6      0.0773924       -0.55742       -2.30996        649.582
      355.619            336              0       -110.171       -587.457       -1946.67      -0.106645      -0.565687       -1.86511        644.702
      415.811            326              0        24.5724         863.85        3502.85      0.0238063       0.830761        3.36903        567.333
      437.933            336              0        26.7239       -370.173        1502.44      0.0257089      -0.354882        1.44657        640.916
      521.627            336              0       0.815731       -183.611       -845.287    0.000927753      -0.176584      -0.812997        674.422
      536.615            326              0       -12.5462        168.638       -922.099     -0.0121442       0.162077      -0.886743        602.342
      211.723        331.679              0        25.9237       -558.778        2374.12      0.0233107      -0.536994        2.28639        306.461
      225.373        321.679              0       -112.776        1725.39       -6347.96      -0.109044        1.65788       -6.10712        321.558
      568.812        76.9793              0        67.3455       -16.1475       -3357.86      0.0643475     -0.0145368       -3.21523        129.256
          560            336              0         11.003       0.896439       -228.497      0.0103887     0.00116739      -0.220798            450
