       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
     -47.9036            325              0         77.626        661.561       -1932.45     0.00313829      0.0260628     -0.0761617        573.367
      454.383            325              0       -21.1438        954.527        2593.73   -0.000756822      0.0377796       0.102712        570.588
      478.363            335              0        142.152       -278.967        817.631     0.00563584     -0.0110431      0.0321727        652.876
      189.693        330.345              0        70.2493       -969.077       -4277.21     0.00284039     -0.0381364      -0.168769        287.687
      375.663            325              0        35.8779         962.47        -4648.5     0.00184136       0.038209      -0.183945        560.509
      313.624        340.641              0        6.59099       -13.5838        686.715    0.000176328   -0.000490122      0.0277257        199.074
      250.323        330.233              0       -243.157       -422.123       -4074.71    -0.00956422     -0.0168331      -0.164437        234.869
        105.6            325              0        42.9237        1586.45        4892.95     0.00192251      0.0633169       0.193523        334.243
      50.6778            335              0       -52.5134       -397.648        1624.04    -0.00214116     -0.0159049      0.0647494        647.022
      31.4408            325              0        54.5669         1369.2        3885.97     0.00221336      0.0546345       0.153185          567.8
      -31.966            335              0        71.6494       -142.335       -838.081      0.0026568    -0.00559096     -0.0336868        645.493
      137.486        340.496              0        3.99754        12.5615       -923.625    0.000169812   -0.000129952     -0.0326627        295.977
       179.66        340.345              0       -15.7537        85.7488       -1455.18   -0.000608461      0.0034496     -0.0574125        305.325
     -88.4128            325              0        18.0832        338.005        1108.02    0.000747209      0.0135431      0.0438075        588.924
     -73.7323            335              0        -44.256       -186.753        -752.02    -0.00163027    -0.00735243     -0.0296748        660.623
     -8.15845            325              0        58.6805         716.21        2208.84      0.0022733      0.0283161      0.0883054        569.673
      9.35973            335              0        7.00495       -301.251        1211.99    0.000467829     -0.0120333      0.0482222        644.493
      494.466            325              0       -36.1989        442.848        1184.38    -0.00143402      0.0175772      0.0469885        580.258
      71.0491            325              0       -43.9271        1746.65        5351.97    -0.00166867      0.0693551        0.21286        567.552
       92.179            335              0        4.14732        -530.91        1966.36   1.83831e-005     -0.0213303      0.0768803         652.98
       395.71            335              0       -29.7571       -413.569       -1672.82   -0.000797159     -0.0160165     -0.0667112        641.327
      147.485        330.496              0       -104.554       -853.665        3483.61     -0.0039397     -0.0335231        0.13694        218.436
      223.248        340.483              0       -39.5261        8.38354        886.123    -0.00150351    0.000140326      0.0343484        294.849
      236.973        330.483              0       -19.6142        -814.67        3476.21   -0.000723631     -0.0323578       0.137522        366.748
      329.468            325              0        30.4564        1492.78       -5076.52    0.000959162      0.0590779       -0.19853        242.751
      297.949        320.641              0       -63.4595        1601.21       -6688.02     -0.0022381      0.0630829       -0.26639        189.284
      282.101            335              0        -18.862       -786.802       -2309.04    -0.00109999     -0.0308073     -0.0926364        221.893
      350.937         338.94              0        7.95392        51.6157       -1254.65    0.000362563     0.00192463     -0.0495652         387.39
      414.855            325              0       -39.9039        958.273       -3790.54    -0.00168648       0.037981      -0.150025        561.801
       436.81            335              0        -115.59       -251.715         1240.5    -0.00448342    -0.00989946      0.0489608        646.396
      520.542            335              0       0.694195       -187.756        459.481   1.78004e-005    -0.00745336      0.0184231        664.947
      535.319            325              0       -16.1121         327.53        956.543   -0.000617865      0.0131411      0.0378817        593.158
      209.562        330.483              0       -28.3105       -941.226       -4127.56    -0.00131319     -0.0372168      -0.162023        253.483
      215.534        320.483              0        54.8473        2724.51       -9203.87     0.00202324       0.107543       -0.36334        127.172
      299.369        340.641              0       -6.87699      -0.864595        718.331   -0.000259714   8.35804e-006      0.0289111        80.5305
      260.559        340.233              0       -5.56716        72.3505       -917.992    0.000328237     0.00252429     -0.0371572        202.854
      118.307            325              0        92.6093        2232.57        5267.71     0.00389808      0.0888582        0.20867        237.593
      156.867            325              0        47.1244        1895.28        5503.46     0.00187472      0.0743143       0.218751        317.696
      199.018            325              0        70.2491         2664.5       -8269.06     0.00284038       0.105035       -0.32663        241.149
      228.441        320.483              0        196.861        2105.39       -7216.55     0.00762843      0.0839277      -0.284848        191.274
      292.878        330.641              0       -16.3832       -757.434       -3178.97   -0.000560983     -0.0298248      -0.127778        309.876
      338.073         328.94              0       -185.947       -547.193        4120.64    -0.00696825     -0.0214312        0.16214        168.221
      346.483         318.94              0         61.724        2125.21        7888.08     0.00247444      0.0838113       0.310982        125.342
      359.348         328.94              0        163.186       -307.234        3459.76      0.0061894     -0.0122951       0.136716        276.421
      319.719        330.641              0       -5.33473       -860.326       -3297.89   -0.000361802     -0.0344546      -0.126076        298.865
      310.535        320.641              0       -54.7274        1588.76       -6683.85    -0.00208997      0.0634664      -0.264455        130.222
      262.325        320.233              0       -43.6503        3044.02       -9227.32    -0.00172326       0.119602      -0.367633        300.983
      272.561        330.233              0        135.614       -457.111       -4037.74     0.00540048     -0.0186465      -0.159763        261.995
      177.573        320.345              0       -12.8309        1948.45        7467.06   -0.000453998      0.0773439       0.293625        182.274
       167.54        330.345              0       -66.2179        -758.02       -4006.85    -0.00263076     -0.0298524      -0.158789        221.609
      127.072        330.496              0       -4.97597       -749.229        3293.37   -0.000276528     -0.0295391       0.128837        260.473
      137.071        320.496              0       -54.0526        2215.13        6271.99    -0.00209522      0.0872212       0.248312        143.657
      571.809        113.784              0        12.8224        11.2256       -1793.45    0.000263688    0.000406626     -0.0715035        220.048
      565.209        128.917              0        7.60215         11.927       -4317.78    0.000271363    0.000389214      -0.172838        133.746
      572.248        90.7996              0       -19.9762       0.772929        2105.56   -0.000819187   1.55302e-005      0.0828375        200.925
        558.5            335              0       -16.0444       -26.2957        171.341   -0.000601662    -0.00110759     0.00625711            450
        558.5           -335              0        11.8054       -35.6334       -229.977    0.000491932     -0.0014008    -0.00916669            450
        568.5       -320.506              0          37.51       -7.43978       -261.501     0.00148784   -0.000316195     -0.0103363         652.25
      565.557        100.787              0       -67.4285        88.2042        4034.29    -0.00264162     0.00357891       0.158585        251.353
      573.221        136.805              0         87.021        29.7587        1266.49     0.00344354     0.00111642      0.0501162        182.404
       567.15        152.894              0       -8.52691        1.95995        2943.95   -0.000286031   6.57455e-005       0.117001        78.8312
        568.5        188.222              0       -646.248        68.5036        2216.77     -0.0255376     0.00276523       0.087399        400.748
        558.5        202.754              0        1622.93       -71.6532       -4833.77      0.0640074    -0.00261512      -0.192126        375.718
        568.5        245.962              0       -239.223       -75.9008       -877.112    -0.00962834    -0.00287714     -0.0345206         503.14
        558.5        262.087              0        795.964       -53.5289       -1510.81      0.0317795    -0.00202219     -0.0595772        487.794
        558.5        298.078              0        325.689       -72.4804       -885.055      0.0129916    -0.00279414     -0.0357111        556.952
        568.5        320.454              0        3.65089        13.4205        -230.42   8.08323e-005    0.000588276    -0.00937738        654.553
        568.5        280.758              0       -116.854        4.94377       -548.226    -0.00465751   7.04892e-005     -0.0219126        574.852
        558.5        230.525              0        1057.86        12.8312        2476.15      0.0417594    0.000523204      0.0977409        429.329
        568.5        215.359              0        -550.55       -82.5373        1540.71      -0.021769    -0.00331152      0.0604577        444.678
        558.5        177.947              0        1898.41        -23.036        5081.57      0.0749934    -0.00086615       0.201285        339.818
      572.936        160.425              0       -14.1358         13.295        1325.48   -0.000647414    0.000509141       0.052511        204.835
      557.841       -128.793              0        1442.26       -221.021       -8644.58       0.057594    -0.00899028      -0.345332        126.501
      568.709       -43.5368              0        -26.037        26.5854       -2281.33   -0.000916731     0.00123237     -0.0907482         146.39
      573.722        70.2365              0        28.7286         10.609        1550.15     0.00115092    0.000264511      0.0608769        150.072
      567.435        145.134              0        33.9312       -43.6615        2971.68     0.00138873    -0.00166148       0.118186        122.404
      555.557         98.105              0       -763.276        62.4021       -10497.9     -0.0300036     0.00188227      -0.418548        138.006
      568.797        19.3161              0       -21.9342        21.1723       -1113.18   -0.000813341    0.000890758     -0.0435763        123.469
        567.2       0.457621              0       -9.22914        25.2013        18.3449   -0.000456734     0.00130377    0.000399693        160.343
      556.246        45.6492              0       -1177.02        133.303        8366.27     -0.0465984     0.00580299       0.329029        77.7432
       567.47        78.6692              0       -8.41161       -6.87475        3621.66   -0.000442968   -0.000238391       0.142837        171.568
      566.811        35.6796              0       -24.1537        17.9295       -2574.25    -0.00105523    0.000758306      -0.103619        130.038
      556.811        32.6893              0       -755.861       -178.171        5687.37     -0.0298345    -0.00725194       0.223987        77.0129
