       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
     -38.3835            320              0        12.1835       -584.122       -1553.57     0.00231733      -0.110956      -0.295409        577.309
      152.562        325.903              0       -20.5679        25.6357       -1060.25     -0.0038966     0.00487016      -0.201406        155.941
      427.037        314.158              0       -68.6735       -837.229       -3821.23     -0.0130724      -0.159099      -0.726161        127.805
      12.8695        314.022              0       -122.645       -263.515        3309.97     -0.0232685     -0.0501078       0.628899        248.221
      488.237            320              0         16.471       -389.395       -1728.81     0.00312214     -0.0739963      -0.328527         578.42
      306.451        324.459              0       -15.5151        62.5963        1465.88    -0.00295617      0.0119262       0.278648        214.703
      275.314        317.373              0         12.864        237.047       -4092.73     0.00243686      0.0450651      -0.778037        137.336
      138.194        313.278              0       -10.5078        40.8281        5405.98    -0.00203855     0.00772729        1.02756        64.7664
      115.171        318.301              0        66.0198        65.6101       -3310.89      0.0124695      0.0124455      -0.629532        113.127
      37.6069        325.496              0       -28.9554        37.8913        923.861    -0.00550415     0.00717547        0.17553        256.684
     -53.0543            310              0       -65.7141        648.641       -2632.38      -0.012511       0.123259      -0.500416        495.782
       165.79        317.226              0        99.0261        17.6077       -4446.47      0.0187794     0.00337265      -0.844787        132.859
      51.5975        308.502              0       -55.8706       -1111.12       -7093.18     -0.0106141      -0.211129       -1.34797        107.829
     -88.6378            310              0        84.0976        313.863       -1134.66      0.0159897      0.0596397      -0.215597        511.298
     -75.4339            320              0       -45.4944       -196.657       -799.173    -0.00866035     -0.0373724      -0.151904        594.177
      256.955        307.978              0        116.597       -1122.25       -9472.48      0.0220949      -0.213305       -1.79967        111.951
     -18.3729            310              0        130.552        1379.45        3445.63      0.0247791       0.262084       0.654796        487.575
     -2.03947            320              0        56.5708       -389.322        1707.59      0.0107968      -0.073949       0.324563        570.596
      365.133        307.405              0        133.829       -1062.64        8034.45      0.0254845       -0.20198        1.52667        91.7577
      95.4659        309.762              0        174.268       -719.036        -6701.4      0.0331164      -0.136607        -1.2736         193.37
      76.1352        324.224              0       -32.2346        42.2088        1238.92    -0.00613658     0.00801305       0.235398        329.819
      125.845         324.45              0       -26.3496       -5.34513        1565.93    -0.00504895    -0.00105933       0.297404        95.9422
       187.44        327.294              0        -1.7427        4.85963        690.317   -0.000321382    0.000926278       0.131189        152.882
      206.543        318.022              0        21.6708        76.9874       -4060.11     0.00407197      0.0146383      -0.771685        172.297
      224.774        327.568              0        1.06874        40.9449       -630.809    0.000201372     0.00776378      -0.119852         137.56
      272.588        324.741              0       -80.8158        34.9635       -1391.55     -0.0153536     0.00664705      -0.264618         89.319
      324.695        317.469              0        6.09461        11.1868        3688.39     0.00118293     0.00215183       0.700887        117.345
       344.77        317.259              0         27.929        -36.877        3600.13     0.00526626    -0.00698952       0.684189        205.591
      315.823        318.092              0         -46.26        35.2672         3572.9    -0.00877196     0.00672337       0.679138        134.716
      398.181        311.316              0       -114.919       -963.029       -4964.31     -0.0218299       -0.18305      -0.943484        153.641
      451.767            320              0       -24.8624       -465.288       -2162.76     -0.0047193      -0.088494      -0.410864        573.438
      387.392        326.204              0       -1.47611        23.8311       -814.919   -0.000277764     0.00452694      -0.154656        97.8745
      414.493        325.112              0       -1.28917        16.3877        905.317    -0.00023944     0.00310027       0.172041        224.268
       468.17            310              0       -118.022        1191.53       -4353.23     -0.0224641       0.226477       -0.82719         489.28
      502.934            310              0        3.36974        714.715       -2384.17    0.000635648       0.135822      -0.453097        496.664
      525.366            320              0       -41.5058       -161.972         783.48    -0.00788014     -0.0307686       0.148922        595.732
      538.605            310              0       -75.7088        330.323        1153.76     -0.0143883       0.062791       0.219322        512.795
      295.874        318.244              0        55.7639        37.4439       -3628.82      0.0105794     0.00712097      -0.689404         176.89
      300.411        304.459              0       -182.244        3478.51          11571     -0.0346053       0.660967        2.19953        109.653
       329.62        307.469              0        16.9787       -1486.53        8906.79     0.00318878      -0.282504        1.69251        70.3647
      352.603        323.422              0        8.06723        18.7143        1695.09     0.00152754     0.00356504       0.322194        112.578
      264.306        304.741              0        12.5707        3915.33        14490.9     0.00238449       0.744236        2.75424        93.3229
      252.193        320.822              0        37.4272        58.5372        2833.14     0.00710078      0.0111245       0.538249        111.543
      232.527        305.153              0       -276.396        3582.17       -14236.3     -0.0525954       0.680903       -2.70558        118.737
      215.809        321.517              0        67.1788       -10.6899        2618.39      0.0128171     -0.0020705       0.497567        136.743
      176.143        321.385              0        3.31066        9.13503        2510.23    0.000619161      0.0017413       0.477205        166.007
      202.104        302.536              0         329.72        5006.57       -20502.2      0.0626921        0.95165        -3.8975        63.1541
      198.287        306.609              0       -190.855       -1507.06        11439.2     -0.0363223      -0.286425        2.17414        60.6074
       224.81        309.102              0        -103.99       -1175.52       -8625.15     -0.0195353      -0.223198       -1.63922          114.7
      163.152        307.226              0        59.1931       -964.815       -10423.4      0.0110596      -0.183324       -1.98088        71.4823
      182.462        308.164              0        261.734        -1576.5       -10114.1      0.0498132      -0.299624        -1.9223        156.326
