       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      -13.905            326              0       -15.3566        979.956        2628.14    -0.00475203       0.301112       0.807298        567.201
      403.294            326              0       -49.5422        824.317        2033.37     -0.0153587       0.253507       0.624575        581.242
       427.79            336              0        109.016       -212.366        619.429      0.0334545     -0.0653089       0.190367        662.779
      141.805        329.936              0        165.284       -534.971        3959.02      0.0508758      -0.164422        1.21805         207.71
      323.693            326              0       -9.00215        1300.98        4519.02     -0.0027945       0.399921        1.38805        563.275
     -78.0257            336              0       -90.3251       -211.155       -571.313     -0.0277078      -0.064977      -0.175737        659.777
      212.865        339.487              0        10.6905        12.0492       -1438.46     0.00375526     0.00368319      -0.441405        418.207
      64.4011            326              0         39.651           1179       -4063.14      0.0120398       0.362755       -1.24856        560.211
      4.94069            336              0        74.2856        -413.88        -1350.2      0.0230787      -0.127415       -0.41356        637.411
     -94.2956            326              0        26.5395        344.493       -850.878     0.00827302       0.105997      -0.261544        590.796
      91.4615        340.475              0       -1.28902        10.9555        888.399   -0.000327964      0.0031897       0.272445        351.606
     -136.344            326              0         44.323         151.03       -541.015      0.0136203      0.0463636      -0.166362        614.512
      -121.08            336              0        16.6797       -96.7986       -299.231     0.00524477     -0.0298626     -0.0918135        686.879
      187.246        331.318              0        7.28977       -679.089       -3570.34     0.00193641      -0.208869       -1.09742        317.478
     -53.6866            326              0         28.376        707.966        1832.43     0.00873992       0.217771       0.563871        576.834
      -36.187            336              0       -62.9362       -189.508        1015.48     -0.0192623     -0.0582994       0.311945        646.133
       139.97        339.936              0        7.92194       -25.5915        1208.14     0.00244779    -0.00789032       0.371878        156.656
      284.531            326              0        4.09525         964.22        3660.37     0.00114642       0.296536        1.12562        559.773
      25.3492            326              0        63.5127        849.705       -3556.24      0.0193738       0.261255       -1.09194        561.831
      45.7081            336              0       -19.8824       -424.766        1575.49    -0.00620306      -0.130852       0.483716        635.292
       108.47        330.475              0        163.807       -413.197        3635.32      0.0505069      -0.127217        1.11597        274.767
      176.615        341.318              0        -41.287        60.7159       -870.537      -0.012599       0.018869      -0.266861        240.003
      257.324         339.56              0        14.2312       -1.12462        1220.38     0.00453843   -0.000121319       0.375431        412.729
      197.836        329.487              0       -145.199       -466.995       -4555.71     -0.0440762      -0.143651       -1.40097        165.348
      344.188            336              0        44.8732       -454.935        1560.73      0.0136485      -0.140037       0.480007        643.431
      240.462         329.56              0       -134.508       -298.038        3670.14     -0.0413293     -0.0915827        1.12907        294.423
      444.125            326              0       -21.8847        377.983        885.226     -0.0067882       0.116232       0.272232        593.388
      303.167            336              0         10.811       -378.723        1672.35     0.00336124      -0.116529       0.514252        639.236
      363.202            326              0        44.7885        911.958        2987.42      0.0138829       0.280106       0.919325        571.198
      385.662            336              0       -65.2473       -173.828        1035.44     -0.0199502     -0.0534079       0.318469        651.719
      471.005            336              0       -15.7133       -96.7001       -285.621    -0.00492426     -0.0297457     -0.0879817        688.542
      486.306            326              0       -45.5528        215.148       -524.839     -0.0140113      0.0659636      -0.161687        616.217
       165.74        321.318              0       -316.696        2007.17        7196.97     -0.0967484       0.616611        2.21517        96.6899
