       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      503.127            401              0        6.26734        368.655       -876.644     0.00160185      0.0929774      -0.221227         753.83
      535.846            411              0         9.6219       -124.011       -309.553     0.00246303     -0.0312874     -0.0779907        810.411
      326.226            411              0        70.5058       -170.728        1171.84      0.0177994     -0.0430645       0.296008        792.498
      197.393            401              0       -25.7272        795.714        3559.02    -0.00659787       0.200972       0.899109        744.434
     -104.344            401              0       -18.8774        240.903         850.56    -0.00473609      0.0607427       0.214018        758.045
      400.495            401              0        87.0632        724.297        -2313.8      0.0219301       0.182532       -0.58394        749.792
      17.3873            411              0       -15.9271       -249.329       -1393.65    -0.00399027     -0.0630656      -0.350735        784.454
      46.7146            401              0        -7.5391        667.837       -2595.77     -0.0019192        0.16873       -0.65379        727.076
     -3.09658            401              0       -8.78044        498.622       -2038.94    -0.00222927       0.125797      -0.513993        729.974
     -85.5642            411              0        46.6974       -129.207        585.599      0.0117112     -0.0326986        0.14717        804.114
      119.782            411              0       -58.2306       -219.337       -1771.39     -0.0146588      -0.055564      -0.446143        791.045
      96.6046            401              0        10.1411        617.876        -2717.7     0.00255248       0.156132      -0.684546        730.737
       68.471            411              0        -4.7294       -264.221       -1592.37    -0.00116508     -0.0670033      -0.400437        787.235
     -157.367            401              0        17.9155        106.186       -365.676     0.00449559      0.0267917     -0.0925076        793.494
     -138.823            411              0       -18.2425       -69.5212        209.005    -0.00455328     -0.0174528      0.0525274        834.479
      247.989            401              0       -103.326        1055.63       -3272.01     -0.0260408       0.265912      -0.825761        744.904
     -53.2314            401              0       -41.1487         395.05       -1324.17     -0.0104187      0.0997107      -0.334205        737.914
     -33.7818            411              0       -22.0643       -169.461       -1010.12    -0.00556664     -0.0427916       -0.25463         788.18
      171.365            411              0       -16.2316       -328.731       -2408.36    -0.00410212     -0.0829956      -0.607239         791.03
        430.6            411              0        108.656       -238.775        730.409       0.027473     -0.0601976       0.184247        805.998
      274.539            411              0        94.5613       -245.422        -2017.4      0.0238225     -0.0619921       -0.50852        787.557
      146.847            401              0       -60.8025        749.608       -3479.27     -0.0153179       0.189034       -0.87753        739.119
      222.985            411              0       -10.2028       -399.043        2072.87    -0.00258877      -0.100714       0.522891        787.472
      554.788            401              0         4.3799        230.657        -651.63     0.00110535      0.0582281       -0.16417        760.491
      349.427            401              0       -91.6926        753.697        -2686.9     -0.0231268       0.190282      -0.678196        748.068
      298.618            401              0         93.624        756.713        -2737.1      0.0235863       0.190979      -0.690221        745.837
      378.244            411              0        5.53999       -276.865       -1718.46     0.00138091     -0.0698773      -0.433399         800.23
      451.748            401              0       -22.2871        504.597       -1075.42    -0.00561664       0.127314      -0.271903        750.593
      483.138            411              0        3.79219        -206.47         406.13    0.000935175     -0.0520947       0.102504         807.63
      589.148            411              0        2.99643       -75.0243       -169.396    0.000785785     -0.0189627     -0.0426972        827.666
       607.54            401              0       -13.5871        89.0456       -377.112    -0.00343483      0.0224484     -0.0951286        785.693
          645        105.513              0        -386.49        4.25209           1260     -0.0975584     0.00115441        0.31787        481.947
          635            411              0        3.72388         1.8826        102.616     0.00100569    0.000393166      0.0255586            450
          645        146.596              0       -303.538        52.7021        867.834     -0.0765577       0.013329       0.219109        498.034
          635           -411              0        3.96763       -3.02748       -87.3109    0.000915994   -0.000896812     -0.0216872            450
          645       -392.569              0       -14.9493        10.6651        107.177    -0.00367863     0.00279884      0.0267117        829.396
          635        115.718              0        798.212       -21.1073        2859.54       0.201356    -0.00533948       0.721075        426.182
          635        166.255              0        685.814        2.59892        1764.09       0.172911    0.000673153       0.445407        464.793
          645        214.627              0       -192.509        5.46088        875.787      -0.048485     0.00139161       0.221232         555.49
          635         234.73              0        647.414       -17.5417        1784.09       0.163555    -0.00436846       0.450703        542.199
          645        294.041              0       -83.6842       -15.8442        513.896     -0.0210438    -0.00397587       0.129609         664.57
          635        316.772              0        293.339       -39.9493        809.488      0.0740256     -0.0101035       0.204315        676.964
          635        365.364              0        98.9721       -32.9025       -303.423      0.0250049    -0.00830875     -0.0765911        768.339
          645        392.438              0       -2.67059        5.06463       -111.551    -0.00065768     0.00126909     -0.0282589        835.278
          645        340.328              0       -59.2094        30.9069        256.063     -0.0149388      0.0078349      0.0645469        741.362
          635         273.59              0        484.469       -46.3005        1361.23       0.122207     -0.0116845       0.343402        601.614
          645        252.462              0       -122.446        1.50365        706.116     -0.0307895    0.000476742       0.178148        604.885
          635        199.265              0        843.802        6.49632        2308.02       0.212964     0.00170419       0.582545        498.257
          645        179.601              0       -336.972       -67.7128        880.823     -0.0849952     -0.0171738       0.222402         522.41
          635        135.023              0            895        111.008       -2987.84       0.225692      0.0277587      -0.754238        442.583
          635        86.2778              0        781.315        19.0813        2923.87       0.197088     0.00488674        0.73845        416.659
          645        74.9948              0       -306.827        8.99217       -1098.03     -0.0775434      0.0021478      -0.277006         474.69
          635        28.6463              0        365.684        79.7482        1120.45      0.0921976      0.0202184       0.283834        408.505
