       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      322.833       -25.0911              0       -2308.83        40.2777       -12707.8        -9.6134       0.168003       -52.8879        16.3389
      323.917        10.0182              0       -373.968        22.1834        5014.71       -1.55866      0.0924718        20.8925          16.25
      323.917        320.583              0        2.77617       -3.66243        2486.21      0.0113492     -0.0149723        10.3493          16.25
      323.917        130.237              0       -1171.65         594.02        19308.6       -4.88205        2.47533        80.4519          16.25
     -10.0182        323.917              0       -170.061       -1276.44        15661.7      -0.707556       -5.31968        65.2582          16.25
      322.833        115.419              0        6172.71       -682.822       -28112.1        25.7153       -2.84385       -117.106        16.3389
      323.917        190.346              0       -1008.43        -320.99       -13661.9       -4.19932       -1.33728       -56.8954          16.25
      323.917        220.401              0        -852.23       -7.70233        11982.6       -3.54988      -0.031723        49.9177          16.25
     -323.917       -310.565              0       -273.959       -21.4242        3247.51       -1.14094     -0.0898324        13.5249          16.25
     -322.833       -185.674              0        2052.69        120.245         -14051        8.55097       0.500738       -58.5313        16.3389
      322.833        75.2734              0        4979.82        272.632       -22675.1        20.7403        1.13705       -94.4771        16.3389
      322.833       -5.01823              0        -1014.7       -32.1335        2950.01       -4.23028       -0.13592        12.3112        16.3389
     -70.1276        323.917              0        72.8709       -1291.03       -13954.4       0.303607       -5.37999       -58.1312          16.25
      323.917       -200.365              0        1145.29       -60.1494       -11165.8        4.77262      -0.250777       -46.5196          16.25
      322.833        135.492              0        4485.05       -523.426       -22802.7        18.6857       -2.18321       -95.0024        16.3389
     -323.917       -130.237              0       -1400.46       -47.6923        26381.9       -5.83705      -0.199684        109.855          16.25
      286.039       -322.833              0       -94.9534        1474.84        -6768.9      -0.395688        6.14615       -28.2087        16.3389
      322.833       -165.602              0       -4334.67        240.023        20643.4       -18.0554         1.0005        85.9621        16.3389
      323.917       -320.583              0       -11.8726       -1.72558        2717.78      -0.050595    -0.00784813        11.3226          16.25
      323.917       -160.292              0        1471.06       0.314903       -20209.7        6.12666      0.0012476       -84.1534          16.25
     -320.583       -323.917              0       -8.46281        31.3322        2757.85      -0.035621       0.130446        11.4793          16.25
      322.833        -65.237              0       -5319.67        541.828          25122       -22.1635        2.25785         104.71        16.3389
      322.833       -205.747              0       -3153.84       -274.804          13880       -13.1426       -1.14465        57.8326        16.3389
      323.917       -90.1641              0        2136.45       -34.2129       -25196.4        8.89954      -0.142412       -104.944          16.25
      322.833       -195.711              0       -3048.63        207.397        14973.2       -12.7005       0.863648        62.3716        16.3389
     -85.3099        322.833              0         145.84        3923.11       -18703.5       0.607766        16.3424       -77.9265        16.3389
      323.917       -120.219              0        1708.92        50.6285       -21506.3        7.11941       0.210826       -89.5806          16.25
      323.917       -150.273              0        1130.64       -327.539       -17018.3        4.71193       -1.36381       -70.8748          16.25
     -322.833       -125.456              0        5021.24        -435.26        27960.4        20.9204       -1.81375        116.443        16.3389
      323.917       -290.529              0        391.698       -82.9056       -4900.83        1.63219      -0.345437       -20.4193          16.25
      323.917        300.547              0       -117.334        38.2795       -4183.96      -0.488667       0.159403       -17.4202          16.25
      322.833       -125.456              0       -5083.74        175.989          22975       -21.1712       0.732211        95.6488        16.3389
      323.917       -260.474              0        566.519       -118.606        7285.15        2.35959      -0.494548        30.3499          16.25
      322.833       -15.0547              0        -1954.9       -79.6427       -8758.02       -8.13647       -0.33114       -36.4232        16.3389
      323.917       -20.0365              0        862.174        9.41583       -11180.5        3.58782      0.0386711       -46.5079          16.25
      322.833       -185.674              0       -3277.13       -168.293        15624.5       -13.6539      -0.702705        65.0713        16.3389
      323.917        40.0729              0       -1177.02        14.1292        11958.4        -4.9024      0.0594071        49.8059          16.25
      322.833       -55.2005              0       -3947.84       -277.618        23494.5       -16.4496       -1.15595        97.9506        16.3389
      323.917       -70.1276              0        1747.55        13.6759       -20253.2        7.27938        0.05701       -84.3734          16.25
      323.917        -170.31              0        1099.86         117.53       -15253.5        4.58261       0.489409       -63.5333          16.25
      323.917       -130.237              0        1834.63       -15.3119       -19449.6        7.64237     -0.0636052       -81.0189          16.25
      322.833        15.0547              0        2071.77        229.637        -7605.3        8.63162       0.955712       -31.6685        16.3389
      322.833       -115.419              0       -4588.17        50.6283       -23928.2       -19.1134       0.210825       -99.6671        16.3389
     -323.917       -50.0911              0       -1089.68       -170.044         -17851       -4.53717      -0.709982       -74.3513          16.25
     -195.711        322.833              0       -84.3601        2498.22        11405.8       -0.35203        10.4112        47.5245        16.3389
      322.833        35.1276              0        2782.02        298.264       -15655.9        11.5843        1.24189       -65.1466        16.3389
      323.917       -310.565              0        171.054        39.2313       -3347.89         0.7124       0.163298       -13.9451          16.25
      323.917       -60.1094              0        1526.47        62.7905        23069.2        6.36173       0.260658        96.1713          16.25
      323.917       -30.0547              0        1237.87        40.2768       -13612.6        5.15504       0.167999       -56.6725          16.25
      323.917       -220.401              0        1260.31        9.43724         -12729        5.25121      0.0392674       -53.0399          16.25
      323.917       -270.492              0        621.144       -41.8758        7505.49        2.58855       -0.17407         31.281          16.25
      90.1641       -323.917              0        17.3444       -1359.45        15096.5      0.0717983       -5.66447        62.9053          16.25
      100.182       -323.917              0       -59.1014       -1425.96       -15582.5      -0.245848       -5.94108       -64.9053          16.25
      323.917       -80.1458              0         2013.1       -38.6997         -21743        8.38436      -0.161812       -90.5555          16.25
      323.917       -230.419              0        453.165       -12.9064        13744.7        1.88756      -0.053991         57.274          16.25
      210.383       -323.917              0       -87.9093       -1029.23        10515.9      -0.364947       -4.28748        43.7751          16.25
      322.833       -245.893              0       -1499.59        -40.839        9444.47       -6.24772       -0.17046        39.3551        16.3389
      323.917       -110.201              0        1142.65        71.3429       -22117.7          4.759        0.29735       -92.1243          16.25
      322.833       -105.383              0       -5424.43       -431.407         -22674       -22.5984       -1.79859       -94.4432        16.3389
      322.833       -235.857              0       -2492.18        202.812        13573.2       -10.3842        0.84511        56.5685        16.3389
      323.917       -300.547              0        446.298       -4.34186       -5023.04        1.85878     -0.0183064       -20.9258          16.25
      322.833       -265.966              0       -1746.92       -150.227        8467.45       -7.27917      -0.626359        35.2884        16.3389
      322.833       -145.529              0       -3511.67        -20.354       -18244.5       -14.6313     -0.0852437       -75.9946        16.3389
      105.383       -322.833              0       -26.7866        3081.88       -17122.5      -0.111789        12.8409       -71.3271        16.3389
      270.492       -323.917              0        125.917       -442.163       -6223.97       0.524604       -1.84263       -25.9617          16.25
      323.917       -190.346              0        1045.29       -9.82872          14492        4.35485     -0.0401467        60.3599          16.25
      323.917       -210.383              0         973.02        38.9585        13476.7        4.05462       0.162346        56.1641          16.25
      125.456       -322.833              0       -248.108        2999.09         -15607       -1.03265         12.492       -65.0164        16.3389
      322.833        -225.82              0       -2539.85       -208.906        15405.1       -10.5805      -0.870009        64.1946        16.3389
      323.917       -250.456              0        779.404        18.1306        7533.95        3.24724      0.0755461        31.3872          16.25
      322.833        -255.93              0        -1749.7       -5.58937       -8562.36       -7.28998     -0.0233029       -35.6742        16.3389
      322.833       -296.076              0       -849.736       -86.9638       -5517.54       -3.54047      -0.362587       -22.9865        16.3389
     -210.383        323.917              0        55.0844       -932.642       -9527.39       0.229301       -3.88489       -39.7148          16.25
      323.917       -240.437              0        580.481        202.812        9086.51        2.41878       0.845112         37.872          16.25
      322.833       -286.039              0       -1194.18       -10.3174       -5758.17       -4.97665     -0.0430834       -23.9908        16.3389
      310.565       -323.917              0       -10.4735        -252.63       -4073.63      -0.043399       -1.05247       -16.9599          16.25
      323.917        -280.51              0        447.258       -1.71388       -5539.28        1.86392    -0.00712353         -23.08          16.25
      322.833       -276.003              0        -1269.6        57.4749        7479.86       -5.29279       0.240067         31.174        16.3389
      320.583       -323.917              0        7.43289        14.8542        2648.71      0.0314639      0.0628781        11.0361          16.25
     -30.0547        323.917              0       -104.229        -784.65       -13696.3      -0.435564       -3.27316        -57.054          16.25
     -323.917        320.583              0       -43.9623       -4.03119        2868.96      -0.182062     -0.0169036        11.9391          16.25
     -40.0729        323.917              0        193.044       -1192.97       -15305.5       0.806504       -4.96834       -63.7048          16.25
      50.0911        323.917              0        200.643        -976.78       -14006.2       0.836087       -4.07108       -58.3425          16.25
      322.833        155.565              0        3115.22        63.7559        17763.1        12.9752        0.26512        73.9747        16.3389
      322.833       -85.3099              0       -6488.51       -199.161        26234.9        -27.031      -0.831615        109.285        16.3389
      323.917        30.0547              0       -906.355        9.92841       -13307.9       -3.77409      0.0413357       -55.3746          16.25
      323.917        260.474              0       -536.286       -196.436        9130.34       -2.23336      -0.818432        38.0258          16.25
      110.201       -323.917              0       -25.1682       -1276.66       -15963.2       -0.10434       -5.31793       -66.4967          16.25
     -323.917       -270.492              0       -514.312       -5.31728        7428.08       -2.14465     -0.0222251        30.9312          16.25
     -323.917       -220.401              0       -914.415       -8.22609        12180.5       -3.80911      -0.033461        50.7267          16.25
      323.917         170.31              0       -448.019        457.039       -15260.1       -1.86511        1.90352       -63.5455          16.25
      320.583        323.917              0        37.6791        40.3275       -2460.48       0.157831       0.166414       -10.2529          16.25
     -323.917       -40.0729              0       -1515.02         15.757        15846.8        -6.3109      0.0670525        66.0102          16.25
      322.833         225.82              0        2444.26        209.982        11517.8        10.1814       0.874428         47.982        16.3389
     -323.917       -160.292              0        -1598.1        148.908        15610.7       -6.65762       0.620268        65.0539          16.25
      323.917        200.365              0       -532.776       -4.39091         -17518        -2.2198     -0.0180196       -72.9743          16.25
      10.0182       -323.917              0       -305.187       -1032.26       -14648.4       -1.27115       -4.30224       -61.0157          16.25
      322.833         255.93              0        1769.27        55.4764        9185.13        7.36819       0.231189        38.2514        16.3389
     -270.492       -323.917              0        91.4486       -219.373           6360       0.380136      -0.913106          26.49          16.25
     -323.917       -90.1641              0       -1221.75       -241.094        18676.3       -5.09331       -1.00303        77.7915          16.25
     -322.833       -55.2005              0        3982.33       -130.115       -22628.8        16.5916      -0.542931       -94.2712        16.3389
     -323.917        -170.31              0       -1002.14        6.73889        13236.1       -4.17379      0.0280283        55.1525          16.25
     -115.419        322.833              0        81.7548        3634.81        15066.8        0.34089        15.1447        62.7672        16.3389
     -323.917       -190.346              0       -939.195       -181.186       -12218.1       -3.91222      -0.754969       -50.8963          16.25
     -323.917       -140.255              0       -1270.46       -105.976        25660.2       -5.29447      -0.440787        106.856          16.25
     -322.833       -95.3464              0        4476.87        -216.67        26549.1        18.6475      -0.901993        110.588        16.3389
     -322.833       -135.492              0         4294.9       -113.596        28152.6        17.8956      -0.474326        117.225        16.3389
     -322.833        -65.237              0         5596.5        88.6539       -25473.2        23.3163       0.369483        -106.12        16.3389
     -30.0547       -323.917              0       -109.956       -1437.67        15490.2      -0.458007       -5.98921         64.523          16.25
     -323.917       -230.419              0       -92.3995        -386.42       -9398.05      -0.382852       -1.61037       -39.1485          16.25
     -75.2734       -322.833              0        140.417        4341.41        18220.8        0.58537        18.0863         75.895        16.3389
     -60.1094       -323.917              0       -39.6743       -487.818        13601.2      -0.164796        -2.0325        56.6481          16.25
     -322.833       -205.747              0        2818.38        168.954       -15440.7        11.7416       0.703907       -64.3278        16.3389
     -323.917       -260.474              0        -650.05       -9.90121       -8201.13       -2.70867     -0.0416122       -34.1649          16.25
     -322.833       -245.893              0        2287.75        164.223        11993.8        9.53407       0.685148        49.9804        16.3389
     -25.0911       -322.833              0        117.911        4094.49       -17565.1       0.490977        17.0575       -73.1753        16.3389
      323.917        140.255              0       -1464.94       -2.15491         -21931       -6.10289    -0.00840655        -91.363          16.25
     -322.833       -175.638              0         3165.7        18.5584       -13397.3         13.189      0.0774851       -55.8014        16.3389
     -323.917        -280.51              0       -441.599         117.63        5839.77       -1.83941       0.489846         24.314          16.25
     -322.833       -306.112              0        642.457       -22.0264        4161.25        2.67737     -0.0912794        17.3369        16.3389
     -323.917       -250.456              0       -477.953        152.764           8232       -1.98907        0.63784        34.2908          16.25
     -322.833        -225.82              0        2579.88        236.724        13036.5        10.7463       0.985643        54.2922        16.3389
     -323.917       -300.547              0       -137.026        113.671        4409.87      -0.571353       0.474213        18.3777          16.25
     -290.529       -323.917              0       -30.5242        -405.05       -5022.15      -0.127609       -1.68694       -20.9141          16.25
     -323.917       -320.583              0       -1.92266       -1.91616         2718.1    -0.00813277    -0.00767325        11.3144          16.25
     -320.583        323.917              0        2.23298       -8.91665         2851.5     0.00909423     -0.0372599        11.8711          16.25
      323.917        310.565              0       -159.204       -96.4288       -3648.71       -0.66353      -0.401434       -15.1863          16.25
      322.833        316.148              0        359.183       -71.8136       -3496.53        1.49557      -0.298816       -14.5578        16.3389
      323.917        290.529              0       -395.703       -22.2227       -6800.38       -1.64883     -0.0924328       -28.3399          16.25
      322.833        286.039              0        1172.77       -138.783       -7882.11        4.88626      -0.578665       -32.8541        16.3389
     -15.0547        322.833              0       -27.9593        3736.48        17468.3      -0.116936        15.5671         72.803        16.3389
     -306.112        322.833              0       -66.8214        796.192       -4894.15      -0.277641        3.31444       -20.3923        16.3389
     -323.917        300.547              0        273.389        97.2369       -4079.87        1.13964       0.405369       -16.9963          16.25
      322.833        165.602              0        5480.11       -46.8407       -20073.3        22.8283      -0.193009       -83.6121        16.3389
     -55.2005        322.833              0       0.582352        3011.19       -17692.5     0.00133619        12.5492       -73.7285        16.3389
      15.0547        322.833              0       -192.003         4623.6       -18259.4      -0.800627        19.2652        -76.083        16.3389
     -323.917        260.474              0        67.4182        105.716       -7593.72        0.28261       0.439866       -31.6434          16.25
      323.917        70.1276              0       -2107.76        65.0857         -21386       -8.77837       0.270631       -89.0971          16.25
     -45.1641        322.833              0         275.54        4076.46       -18893.5        1.14925        16.9898       -78.6969        16.3389
     -300.547        323.917              0        5.34952       -311.804       -5177.76      0.0218382        -1.2982       -21.5645          16.25
      -280.51        323.917              0         88.555       -381.093        5625.97       0.368197        -1.5879         23.442          16.25
     -276.003        322.833              0       -12.2386        1111.53       -6079.19      -0.051087        4.63127       -25.3048        16.3389
     -323.917        250.456              0        602.292       -11.9875       -9958.27        2.50951     -0.0495221       -41.4815          16.25
     -296.076        322.833              0        75.4516        910.983       -5932.71       0.314582        3.79619       -24.6996        16.3389
     -290.529        323.917              0        79.2142       -244.074       -5085.28       0.329238       -1.01828       -21.1646          16.25
     -286.039        322.833              0       -46.5069        1394.63        6317.65      -0.194136        5.81055        26.3145        16.3389
     -95.3464        322.833              0       -336.669        3894.24       -18321.1       -1.40271        16.2244       -76.3429        16.3389
     -270.492        323.917              0       -91.3552       -366.545        -6218.2      -0.380795        -1.5265       -25.8904          16.25
      -170.31        323.917              0       -62.1407       -1161.07       -14315.2      -0.258805        -4.8345       -59.6171          16.25
     -220.401        323.917              0        90.9822       -787.925       -9359.21       0.377517       -3.28407       -38.9965          16.25
     -240.438        323.917              0        210.735       -646.755        8075.84       0.877741       -2.69525        33.6431          16.25
     -125.456        322.833              0       -21.1063         2636.4        14593.6     -0.0875227        10.9839        60.7886        16.3389
     -235.857        322.833              0       -116.468        2070.36       -9826.97      -0.485439        8.62543       -40.9096        16.3389
     -180.328        323.917              0       -21.0157       -1109.68        12694.6     -0.0875541       -4.62216        52.8711          16.25
      -65.237        322.833              0       -181.934        3672.36        16286.3      -0.758218        15.3015         67.871        16.3389
     -215.784        322.833              0         73.383         1545.7       -10662.7       0.306097        6.43797       -44.4339        16.3389
      80.1458        323.917              0       -204.711       -1077.56       -14400.6      -0.851639        -4.4929       -60.0319          16.25
     -323.917        180.328              0         1006.3       -4.50825        18342.8        4.19325     -0.0184277        76.4079          16.25
     -322.833        95.3464              0       -7345.73       -379.267       -29556.5       -30.6248       -1.58124        -123.16        16.3389
     -205.747        322.833              0         85.586        2252.19       -11433.4       0.357284        9.38412       -47.6526        16.3389
     -190.346        323.917              0       -166.636       -812.936        10548.7      -0.693804       -3.38867        43.9513          16.25
     -185.674        322.833              0       -171.183        2744.02          13778      -0.712891        11.4299        57.3928        16.3389
     -323.917        150.273              0        1478.05        69.8508       -18949.8        6.15727       0.290717       -79.0494          16.25
      90.1641        323.917              0       0.886196       -1270.92       -18300.8     0.00319651       -5.29305       -76.2207          16.25
     -175.638        322.833              0       -274.326        3142.77       -14272.9       -1.14237        13.0886       -59.4483        16.3389
     -140.255        323.917              0       -1.39618       -947.916        11981.2    -0.00547799       -3.94665        49.8908          16.25
     -165.602        322.833              0        224.912        2301.59       -14587.7       0.935515        9.58424       -60.7514        16.3389
     -120.219        323.917              0       -310.882       -861.825        12912.1       -1.29516       -3.59104        53.7891          16.25
     -145.529        322.833              0      0.0237961        3010.06        14771.4    0.000576705        12.5341        61.5098        16.3389
     -135.492        322.833              0       -33.9449        1811.06       -12156.9      -0.141015        7.54252       -50.6431        16.3389
      100.182        323.917              0        112.023       -840.812        12952.1        0.46641       -3.50331        53.9495          16.25
     -110.201        323.917              0        181.301       -411.848        13083.9       0.755361        -1.7155        54.5055          16.25
     -60.1094        323.917              0        16.7042       -1247.91        16311.8      0.0695606       -5.19935        67.9688          16.25
     -105.383        322.833              0       -126.595        3203.78        16695.7       -0.52762        13.3482        69.5542        16.3389
     -100.182        323.917              0        87.8676       -1525.52        15321.4       0.366379       -6.35619        63.8291          16.25
     -75.2734        322.833              0        -1.5372        2376.87       -14847.2    -0.00603235        9.90483       -61.8523        16.3389
     -35.1276        322.833              0        66.1116         4053.6         -17864       0.273422        16.8949       -74.4023        16.3389
      50.0911       -323.917              0       -55.6328       -1502.06       -15001.8       -0.23169       -6.25626       -62.4743          16.25
     -323.917        40.0729              0        1330.11       -22.3746        16536.8        5.54269     -0.0928777        68.9204          16.25
      322.833        45.1641              0        3221.67        50.9083       -15133.7        13.4216       0.212269       -63.0429        16.3389
      322.833         65.237              0        3893.02        152.324        21863.9        16.2151       0.633991        91.0864        16.3389
      322.833        55.2005              0        3847.17       -8.74844        20014.8        16.0253     -0.0363709        83.3688        16.3389
      322.833        95.3464              0        4063.42       -37.1447       -20123.8        16.9311      -0.157465       -83.8821        16.3389
      322.833        25.0911              0        2343.13       -196.666       -12529.6        9.75653      -0.818749       -52.1548        16.3389
      322.833        85.3099              0        7225.84       -23.2592          27326        30.1001     -0.0973616        113.832        16.3389
      322.833        105.383              0        4344.46       -74.9508        21755.3        18.1005      -0.313116        90.6543        16.3389
      323.917        100.182              0       -1630.29       -38.0698       -19390.9       -6.79099      -0.158062       -80.8602          16.25
      323.917        20.0365              0        28.8835        126.414       -8027.92        0.11859        0.52678       -33.4322          16.25
      323.917       -10.0182              0        406.217        21.6696         3802.8        1.69178      0.0913613        15.8846          16.25
      322.833        125.456              0        6722.94       -326.315        27123.7         28.016       -1.36076         113.01        16.3389
     -322.833        35.1276              0        -3611.6        46.5691        15822.7       -15.0502       0.193919        65.9377        16.3389
      322.833        145.529              0        4331.91        271.069       -21165.2        18.0429        1.12893       -88.1724        16.3389
      323.917        60.1094              0       -1370.01       -98.4656       -18706.2       -5.70336      -0.411301       -77.9401          16.25
      322.833        185.674              0        2603.97       -92.9476       -14937.8        10.8464       -0.38747       -62.2001        16.3389
      322.833        175.638              0        3096.48       -94.1089       -14446.7        12.9037      -0.392424       -60.1565        16.3389
      322.833        195.711              0        2775.07       -329.004       -17911.8        11.5624         -1.371       -74.6181        16.3389
      322.833        215.784              0        2457.41       -153.192        11826.3        10.2363       -0.63854        49.2708        16.3389
      323.917        50.0911              0       -1002.95       -21.2639        14410.5        -4.1787     -0.0881999        60.0327          16.25
      322.833        205.747              0        2776.45        174.144       -17158.5         11.566       0.725222       -71.4781        16.3389
