       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      73.2194        69.5236           -0.5       -645.766         390250        -243562       -2.80429        1625.63       -1014.06        1.71235
       225.82        68.7886           -0.5         689146         331014        -268918        2870.94        1378.81       -1121.33        0.63362
      122.648        67.3792           -0.5       -174.581        69714.3        -326161      -0.702064        290.466        -1358.8        2.66401
      225.326        50.2563           -0.5         511007        1830.18        -391487        2128.93        7.73497       -1631.47        2.39825
     -108.069        66.8401           -0.5       -4585.18        56447.2        -278962       -19.1291        235.244       -1162.19         5.8391
      225.276        24.9652           -0.5         580829       -19944.4        -533904        2419.85       -83.1046       -2224.57        2.48457
      225.435        29.3298           -0.5         610372       -15892.7        -449406        2543.01       -66.4316       -1873.58        1.92751
      112.376       -69.5452           -0.5       -6880.58         403843         249852        -28.778        1682.77        1041.66        1.67814
      -225.54       -8.23278           -0.5         685401        -817417         431903        2856.37       -3406.23        1802.04        2.10529
     -225.482       -28.9161           -0.5         635519       -12436.7         432641        2647.91       -51.8085        1803.62        1.75177
      106.958        69.4372           -0.5       -2649.91         376982        -272310       -11.1402        1570.92       -1136.05        2.03044
     -176.864        66.9779           -0.5        2515.55        50499.1        -321227        10.4836        210.369       -1338.14        4.52241
      163.759        67.3688           -0.5       -1019.67        59475.9        -334612       -4.26192        247.779        -1394.1        2.53646
     -225.429        37.3393           -0.5        -565233       -3825.63        -371566       -2355.01       -16.2897       -1548.92        1.93696
      -224.96        21.6716           -0.5        -582293         -24323        -687802       -2425.85       -101.091       -2865.97        2.37039
     -142.566        69.0664           -0.5       -3226.24         340676        -356279       -13.2261        1419.97       -1480.44        1.38742
     -173.756        68.8624           -0.5          -2701         297455        -384290       -11.4623        1239.02       -1603.31        1.95696
     -87.4312       -69.4066           -0.5        1140.72         358608         237746        4.83426        1494.15        990.121        2.05804
     -181.181        68.7259           -0.5       -5309.53         258560        -438230       -21.9295        1077.22        -1826.6        2.11628
     -194.243        68.6393           -0.5       -3121.18         278771        -386927       -13.1015        1161.36       -1612.26        4.11356
     -219.821        69.3692           -0.5       -30052.3         585662        -475723       -125.387        2440.07       -1980.86        2.32819
        59.29       -69.5003           -0.5        1596.25         400486         235235        6.44355        1668.38        979.719        1.74481
     -213.056        33.6562           -0.5       -3348.97       -2011.31        -229914       -13.9632       -8.37565       -957.931        35.5522
     -225.405        32.9265           -0.5        -577129       -11536.3        -422174       -2404.25       -48.0387       -1758.94        2.11605
