       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
     -236.303       -784.712              0        4.18553        21.2367          573.3        0.29286        1.48739        40.1528        1572.44
     -447.968         166.01              0        -15.848       -2.05046       -1289.85          -1.11      -0.143917       -90.3435        2604.09
      346.399       -715.665              0       -1.86222        22.4701        1393.81      -0.130643        1.57364        97.6217        1594.93
     -158.944       -661.977              0        542.709       -3339.12          33327        38.0125       -233.872        2334.23        233.668
      252.903        680.497              0       -10.9076       -1203.01       -7762.76      -0.761219       -84.2584       -543.705        976.525
      -410.37       -473.523              0       -18.5535        11.8238        3012.05       -1.29858       0.828129        210.966        1946.57
      476.558        414.043              0        14.9414       -5.69789       -709.282        1.04651      -0.399123       -49.6781        3153.25
      362.961       -482.218              0       -209.456        30.1827         6507.7       -14.6715        2.11424        455.799        2260.33
      -226.61       -662.068              0       -65.9779        5032.54        15486.4       -4.61763        352.477        1084.69        852.466
     -46.3117         657.91              0       -777.637       -6477.78         -53242       -54.4654       -453.695       -3729.04        80.2425
     -372.838       -424.355              0        36.6424       -1.08138        5851.65        2.56699     -0.0751289        409.846        1135.67
     -74.1043       -766.519              0        18.6527        5.40013        2550.87        1.30672       0.379026        178.668        1325.54
     -70.4111       -717.906              0       -16.0999        26.0894        8680.75       -1.12766        1.82549        607.997        798.283
     -307.327        -344.94              0        9663.04       -65.8339        24408.1        676.802       -4.61346        1709.54        289.692
      -321.77       -32.8801              0        1099.36        198.334        3305.38        76.9996        13.8909        231.508        1937.87
     -307.395       -465.643              0        6234.52        260.644        20133.4        436.667        18.2552        1410.15        318.499
       347.58         762.72              0       -9.64843        6.83512       -624.816      -0.675847       0.478749       -43.7624           1856
      -168.46       -658.444              0       -460.757         7120.9          28758       -32.2737        498.747        2014.22        215.541
      75.1351       -777.265              0        5.59822         7.2044        1768.44       0.392316       0.504118        123.857        1206.52
      416.564        717.849              0        3.63554      -0.268573       -600.067       0.254817     -0.0187172       -42.0276        2273.82
     -385.512       -498.958              0        40.7565       -4.38662        4321.96        2.85369      -0.307148        302.709        1513.46
      305.541       -248.957              0       -5347.68       -15.6094        22270.3       -374.552        -1.0934        1559.81        252.659
     -392.462        257.379              0       -7.38436       -14.4432        -4261.1      -0.516086       -1.01131       -298.443        4346.85
     -404.059        622.675              0       -7.86664        32.6356       -1724.88      -0.550777        2.28615       -120.813        3222.39
     -475.521        577.343              0       -16.1319        6.42976       -498.894       -1.12984       0.449957       -34.9424        3220.57
      -450.78       -10.3923              0        8.03882        21.2907        84.4469       0.563209        1.49122        5.91561        4238.66
