       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
       306.67        636.011              0        2794.82       -286.159       -10911.6        12.8167       -1.31204       -50.0293        297.815
      412.425       -784.777              0       0.478281        1.74104        139.783     0.00200757     0.00774032       0.641408        1175.78
      466.273        154.407              0        2.08096       -4.81718       -733.654     0.00953026     -0.0218406       -3.36895        1429.88
      370.252       -90.4464              0       -34.0593       -16.1687        3068.23      -0.153642     -0.0729631         14.079        731.551
      310.226       -638.143              0       -1869.63       -307.527       -8031.42       -8.58065       -1.41029       -36.8399        454.259
      343.572       -434.782              0       -53.4198        -11.985       -9755.09      -0.247909     -0.0556762       -44.7646        410.536
      480.728       -349.983              0       -13.5556        -1.5339        617.685      -0.062751    -0.00778146        2.83325         1718.9
       304.06        418.886              0       -5818.02       -97.6464        50390.4       -26.6745      -0.443129         231.13         27.874
      331.961       -281.578              0       -53.4577       -10.0773        13636.8      -0.245343     -0.0444332        62.5656        292.959
      303.193         512.14              0        10979.4       -69.0613        42797.4        50.3702      -0.312547        196.301        73.7317
      312.579       -84.2211              0        805.656       -299.931       -12603.2        3.68727       -1.38266       -57.8016        292.461
      305.602       -103.623              0       -4561.08        506.367       -24922.7       -20.9168        2.32457       -114.315         105.48
      438.424        665.607              0      -0.885927       0.591595        -772.32    -0.00439731      0.0025375       -3.54415        1406.59
      486.414        -111.81              0       -2.98578        1.39995        216.415     -0.0139289     0.00761712       0.991783        1187.73
      318.522        449.878              0       -68.3871       -43.0156        18962.4      -0.314857      -0.196297        87.0091        137.518
      486.748       -55.1292              0       -2.07534       0.158897        110.621    -0.00963911    0.000667262        0.51155        1152.43
      303.817       -253.288              0        4705.85        2198.01       -60213.3        21.5719        10.0971       -276.185        28.4584
      338.004       -559.928              0        72.8089        135.232        7935.76       0.329367       0.615921         36.399         310.63
      304.627        143.918              0       -3557.14           1539       -34684.1       -16.3137        7.06829       -158.938        39.5765
      484.512        469.058              0         8.2148        2.22295       -442.052      0.0369796      0.0103341       -2.03461        1366.89
      433.795       -498.245              0        4.07658        3.31963         1998.6       0.018818      0.0155203        9.17316        1526.92
      305.394       -198.634              0        5057.68        -431.21        44977.5        23.1988       -1.96971        206.233         49.338
      308.103        71.0937              0        2835.69        7.71596          13857        12.9984      0.0357906        63.5555        341.854
        319.1        433.576              0        9.19941       -102.114       -18346.3      0.0412293      -0.470148       -84.1339        97.1169
      304.064       -133.266              0       -7663.64       -27.3183       -29388.8       -35.1467      -0.121766         -134.8        70.4741
      317.957         29.563              0       -589.023        61.3525       -3369.35       -2.70156       0.281537       -15.4546        422.507
       301.86       -453.064              0       -13396.3       -1094.24       -67484.4        -61.424       -5.01933       -309.432        18.6348
      424.773       -230.756              0       -9.29373       -10.4833        2480.27     -0.0423846     -0.0492134        11.3874        961.946
      359.588       -407.015              0       -47.1521        10.5116        7641.24      -0.215945      0.0508622        35.0675        585.748
       305.06       -592.461              0       -5029.69        82.3797        18617.8       -23.0782       0.381382        85.3515        46.5146
      467.637        321.145              0        1.85884       -1.26495       -1034.19     0.00852368    -0.00540027       -4.74069        1344.17
      310.124        126.656              0       -2757.53       -273.848       -20891.9       -12.6425       -1.25902       -95.8068        166.289
      302.419        203.201              0        15790.6        485.539        58569.9        72.4429        2.22303        268.712        54.0213
      468.909        210.104              0      -0.700614        3.00016       -863.371    -0.00337285      0.0134307        -3.9636        1238.18
      307.281       -563.057              0        2520.47       -602.203          22127        11.5599       -2.76569        101.516        96.4627
      480.716        778.791              0        1.69503         1.7826        4.85523      0.0078095     0.00823537      0.0223959        1840.46
      305.057        533.671              0       -3545.76       -226.598        29825.5       -16.2655       -1.04213        136.785        25.8659
      302.066       -356.983              0       -16159.4         442.99       -66893.1       -74.1273        2.02275       -306.866        40.2371
      438.772        212.812              0        7.07732        8.89767       -1776.99      0.0319324      0.0405076        -8.1486        1155.34
       303.45       -417.889              0       -12305.8        325.175        57985.9       -56.4268        1.53554        265.906        27.4466
      304.533       -363.133              0         2981.8        247.697       -49333.4        13.6844        1.13906       -226.276        44.2069
       475.47        33.7057              0        3.48984        2.82643       -142.403      0.0164617      0.0131239      -0.656341        1182.94
      488.415        2.25446              0        6.12593       -5.14877       -11.6495       0.028127     -0.0235801         -0.053        1009.95
      302.305        339.379              0        15482.7        323.139       -75517.5        71.0432        1.46082       -346.659        16.7471
      482.673        293.586              0        7.03179          5.649       -536.361      0.0321052      0.0249586       -2.45777        1515.11
      483.553        180.002              0        4.47884        1.53651       -423.792      0.0206898     0.00674784       -1.94668        1445.37
      314.514        620.325              0       -870.385        19.9808       -10312.3       -3.99214      0.0878757        -47.293         379.67
      314.662       -785.669              0        3.10628        9.26642       -339.506      0.0136829      0.0421072       -1.55813        945.513
      482.476       -646.272              0      -0.450231       0.707152        245.972    -0.00206042     0.00340457        1.13171        1551.13
      487.055        62.6336              0        5.81001      -0.183224       -128.863       0.026773   -0.000634452       -0.59288        1131.87
      303.846        119.372              0        5322.59        580.275       -29526.6        24.3964        2.65407       -135.426        97.5966
      312.612        83.4278              0       -1619.22       -365.272        13143.2        -7.4228       -1.67479        60.2776        197.386
      312.737       -700.488              0        6.44012       -4.48743        2731.51      0.0309712       -0.02151        12.5206        676.259
      308.768        14.4361              0        574.225        142.481       -2644.94        2.63323       0.653255       -12.1474        370.959
      480.849       -778.766              0       -1.64495        1.29901       -3.97741    -0.00782178     0.00610653     -0.0188106        1829.95
       424.34        345.616              0        24.9594       -1.05573        -2783.6       0.114077      -0.004916       -12.7636         1196.7
       304.51        94.1777              0        4227.62        224.255        22454.8        19.3821        1.03194         102.96        128.638
      303.857        308.176              0       -4796.52        1588.39       -53186.2       -21.9828        7.29259       -243.879         36.131
      307.762        171.173              0       -3726.56       -3.46566        30158.8       -17.0936     -0.0217305        138.291        105.695
      464.941       -748.187              0       -4.02839       -1.95063        144.632     -0.0183448    -0.00906268       0.661712        2325.37
      427.579       -438.937              0      -0.908942        4.52412         2472.2    -0.00345923      0.0190849        11.3418        1267.19
      441.179        261.853              0        2.66858       -11.6058       -1883.45      0.0123121      -0.055073        -8.6348        916.751
      357.974        187.292              0       -6.85324       -56.9939       -6707.62     -0.0298346      -0.265645       -30.7638        413.434
       301.83        229.691              0        13398.2       -1662.88        63083.3          61.45       -7.63174        289.336        22.7545
      304.285       -502.283              0       -10933.1         638.36        41937.3       -50.1377        2.93614        192.354        47.1234
      306.214       -474.694              0        3304.31        1132.15       -37517.8        15.1448        5.20959       -172.113        50.0964
      484.964        350.913              0       -2.47431     -0.0379195        460.062     -0.0116552   -0.000270988        2.10936        1303.74
      304.475        449.903              0       -5435.99        491.642        44371.4       -24.9271        2.24785        203.584        20.9546
      312.051       -219.635              0        41.4708       -124.683        24057.2       0.187469      -0.564247         110.45        57.2109
       305.99       -222.638              0        6230.13      -0.663727       -38151.7        28.5689     -0.0110183       -174.954         55.937
      405.591        583.215              0        4.18795        -1.1652       -2289.82      0.0195489    -0.00465727       -10.5004        1482.79
      375.064       -134.713              0        1.52591        1.10636       -3803.31     0.00811213      0.0047127       -17.4398        1171.87
      480.083        584.978              0        1.42961      -0.845559        392.801     0.00665721    -0.00372375        1.80356         1768.2
      309.189        43.7048              0        1780.85        180.287       -7827.43        8.17008       0.825321       -35.8972        388.143
      317.524       -30.1812              0        605.376        55.4151          -3924        2.77665       0.256725       -17.9883        323.474
      307.912       -15.3799              0       -599.575        191.489        2861.61        -2.7495        0.87704        13.1044        334.687
      341.794        632.261              0        1.72524       -13.7421       -4290.69     0.00840142      -0.064363       -19.6866        432.911
      326.024       -767.746              0        -2.1309        5.06644        651.043    -0.00989229      0.0233432        2.98553        969.775
      485.356         236.61              0        3.12193      -0.970372        -442.33      0.0148074     -0.0039047       -2.02938        1291.09
      302.934        190.547              0        9332.04        175.333        38342.3         42.776        0.80761        175.771        46.9847
      410.294       -329.627              0        8.26413       -7.92605         3532.1      0.0390437     -0.0365359        16.1939        1041.44
      306.991       -533.459              0        3746.39        862.655          31187        17.1796        3.97027        143.178         59.668
      386.751        207.494              0         6.9536       -12.7077       -4331.29       0.032908     -0.0582006       -19.8725        796.496
       486.16       -589.197              0        4.81642        5.49386       -241.295       0.022457      0.0255743       -1.10669        1218.38
      483.673       -467.667              0       -7.65939        5.74039        456.535     -0.0355506      0.0262809         2.0976        1450.17
      314.537          785.7              0      -0.515615       0.382889       -328.629    -0.00255768     0.00279002       -1.51171        935.504
