       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
     -272.671        766.214              0       -3.24045        5.41699       -997.597    -0.00622258      0.0103779       -1.90833        1163.88
      234.349         787.34              0      -0.715749        7.41527        489.365    -0.00134162      0.0142631       0.935911         775.14
      285.645        785.683              0       -1.54255       -5.88157       -345.205    -0.00295782     -0.0113711      -0.659831         924.82
      130.667        698.178              0       0.581697        23.1982       -10013.1     0.00077088      0.0436481       -19.1489        307.264
      117.973        789.851              0        -2.8543        4.43506       -636.205    -0.00526306     0.00839564       -1.21695        597.843
     -108.891        651.337              0       -35.0051        28232.1        -128604     -0.0729551        54.0042       -246.029        19.5758
     -30.7382         651.55              0       -982.489        32000.6         137744       -1.87753        61.2014        263.469        8.43504
      195.427        788.775              0        3.98259        -1.2446       -514.018     0.00762946    -0.00238816      -0.983179         671.24
     -117.266        790.487              0        3.23275          2.954       -593.852     0.00610705     0.00564813       -1.13658        560.296
     -138.051        779.876              0        6.63616        0.66364       -1219.32      0.0127327     0.00127214       -2.33294        628.956
     -39.5598        706.997              0       -20.6765        11.3375        10305.1     -0.0398478      0.0216092        19.7038        323.125
         -234        654.631              0       -19.6264        4924.65       -21935.6      -0.039012        9.42023       -41.9509        111.507
      56.3696        761.117              0       -9.77003        6.98445       -3065.03     -0.0185548      0.0135636       -5.86142        610.653
        277.5        720.034              0       0.549982         3.5141       -2635.43      0.0010609     0.00637524       -5.04372        724.182
     -112.635        652.504              0       -1412.93       -5014.44       -87616.3       -2.71661       -9.57887       -167.616        9.77832
     -285.606        785.638              0      0.0947332        -2.2217         353.67   7.84057e-005    -0.00418555       0.676184         930.22
     -177.754        651.316              0        1572.35        12672.6        69425.3        3.00569          24.23         132.76        18.5493
      188.465         653.28              0        -372.72        11138.8        49446.3      -0.716421        21.2991        94.5453        43.0069
      213.734        654.677              0       -216.355        9271.99        32835.5      -0.412605        17.7313        62.7835        106.774
        56.57        781.117              0        3.61431        6.42091       -1348.32     0.00706909      0.0122821       -2.57843        531.618
     -282.749        654.619              0        291.936        3011.46       -11830.2       0.558355        5.75714       -22.6185        200.903
     -141.879        650.849              0        1043.65        19274.4        -101107        1.99656        36.8518       -193.367        13.8124
      158.117        785.365              0        -2.2361       -4.50677       -830.613    -0.00430205    -0.00875765       -1.58734        867.188
      250.608         768.22              0       -2.37655        0.23378       -1087.53    -0.00420116    0.000578505       -2.07974        923.738
      240.716        658.068              0        144.273       -1328.54       -15771.1       0.275854       -2.54011       -30.1509        107.709
     -60.4589        651.142              0        685.667        34295.2         111192        1.31671        65.6029        212.717        14.5911
     -202.821        659.201              0       -98.9458       -3246.33         -23984      -0.189969       -6.21372       -45.8843        150.321
     -254.697        652.936              0        575.902         2907.4       -22648.7        1.10227         5.5598       -43.3214        115.059
      213.343        776.116              0       -11.4731      -0.364156        1006.05     -0.0219268       -0.00066        1.92456        655.231
     -171.634        677.535              0       -44.1525       -4.26198       -14001.9     -0.0838773    -0.00842608       -26.7801         234.29
     -8.91222        664.839              0        92.0547       -77.8503          35549       0.176951      -0.150746        67.9769        30.7997
      239.701        691.034              0       -2.19117        46.3987        6026.85    -0.00437134      0.0881816        11.5246        567.867
      150.461        652.015              0       -2599.41        17897.7       -79715.3       -4.96945        34.2284       -152.414        17.8155
     -223.583        709.129              0       -1.89962       -30.0463        -4787.4    -0.00354832     -0.0571408       -9.15077        420.581
     -267.745        660.906              0        -137.52       -619.945       -10756.1      -0.264375       -1.18524       -20.5734        169.867
      98.9819        669.346              0       -165.125        26.4891       -25535.7      -0.317384      0.0494569       -48.8341        80.8902
      151.786        715.004              0       -3.07762         39.755       -6406.94    -0.00589772       0.076252       -12.2477        532.792
     -76.0015        673.256              0       -95.3657        134.566        22436.4      -0.182263       0.256951         42.906        124.117
      231.295        652.041              0       -390.683        4112.59       -24639.5      -0.747265        7.86389       -47.1216        69.4604
      19.1347        779.227              0       -1.36748        6.91165       -1583.45    -0.00258564      0.0131203       -3.02796        549.651
     -97.7125         780.03              0        1.54675        4.71552       -1348.59     0.00285832     0.00913445       -2.58018        597.518
      36.4614        650.987              0       -568.743        38518.3        -185132       -1.08171        73.6612       -354.025        10.3161
     -77.8656        789.543              0       -3.96781        10.5945       -726.837    -0.00702865       0.020115       -1.39008        613.145
      3.31996        651.543              0        240.841        30492.2        -119047       0.473385        58.3929        -227.83        16.7133
     -51.3257        666.603              0       -94.5698        50.4152       -30795.2       -0.18124       0.095306       -58.8844        79.7309
     -63.2669        654.246              0        -270.61       -9428.98         -68722      -0.519181       -18.0339        -131.43        20.9957
      -75.732        651.224              0       -956.769          20487        -124346       -1.82804        39.1762       -237.805        14.7143
