       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      392.562        52.1699              0       -1522.67        1787.72        -116540       -1.13886        1.33609       -87.1786        4.55987
      443.027         50.655              0        720.681       -5415.61       -45091.2       0.539155          -4.05       -33.7279        8.14303
      190.932        52.8007              0       -314.682        539.934        -112913      -0.235062       0.403855       -84.4653        9.13419
      142.476        53.9525              0       -1141.72        344.167       -89691.2      -0.854003        0.25789       -67.0918        6.64687
        449.2        75.4957              0        10.7909        27.7532        989.867      0.0080382      0.0207569       0.740765        31.5533
      410.688        73.7079              0        27.4584        29.9604       -5427.82      0.0205724      0.0225371       -4.06006        24.4963
      43.0562        50.0198              0        1389.76       -19914.4        -202097        1.03918       -14.8982       -151.181        4.87724
      430.006        48.8464              0       -1142.55        35086.6        -166586      -0.853443        26.2449       -124.604        4.54557
      448.144        64.6134              0       -5.77372       -45.8796        6291.46    -0.00431416     -0.0342798        4.70615        19.7577
      107.811        50.1228              0       -527.836       -19945.4        -199228      -0.395684       -14.9169       -149.032        5.44685
     -18.0852        60.8045              0         10.521        6.59773        10490.7     0.00797545     0.00505463        7.84847        16.7605
       422.68         49.174              0       -1917.77        49218.6         188031       -1.43567        36.8127        140.639        6.29897
      353.207        50.2082              0       -687.874       -20408.1         196304      -0.516519       -15.2598        146.822        5.31297
      398.098        48.9717              0       -3442.67        68879.8         272174       -2.57529        51.5282        203.599        5.18497
      201.808        50.2867              0        7215.99       -12432.8        -206680        5.39726       -9.29927       -154.596        6.66258
      327.888        50.2773              0       -2405.61       -19745.5        -193668       -1.79808        -14.768       -144.858        5.76435
      220.322        73.6117              0       -31.7082         18.812       -7236.74     -0.0235213      0.0140505       -5.41366        29.4527
      411.634        53.8323              0       -144.392        1400.54       -73967.3      -0.109012        1.04805       -55.3329        5.67078
      278.167        58.4193              0       -106.519        58.0138       -51527.5     -0.0798361      0.0435154       -38.5461        11.8762
      73.8196        48.8625              0        1821.66        75887.6        -301958        1.36417        56.7699        -225.88        4.68329
      7.55146        50.1125              0       -406.675       -21706.1        -155257      -0.303862       -16.2385       -116.149        6.24243
     -18.0321        67.4502              0        19.9089       -29.8997       -5521.51      0.0147571     -0.0224744       -4.13005        19.4715
      1.35076        67.1795              0        24.6245       -41.6984        11720.7      0.0183864     -0.0311835        8.76741        22.6736
