       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      127.579        51.3673              0           2727        73257.3        -302777        12.1886        327.395       -1353.14        4.68894
      167.363        51.6386              0        896.478        71357.3        -270827        4.00674        318.906       -1210.35        6.18596
      88.9418        78.3517              0        29.0661        63.7619        3398.47       0.129693       0.284863        15.1878        26.3258
      254.209         77.995              0        2.00445       -7.87848        913.921     0.00897081     -0.0351855        4.08434        31.4662
      188.972        56.0189              0       -604.378        717.652       -90274.4       -2.70139         3.2074       -403.444        6.01604
      63.1466        61.3848              0        53.6368        68.6688       -47920.2       0.239635       0.306881       -214.162        11.3554
      171.719        78.1384              0        25.3093        56.0585       -3628.15       0.112979       0.250449       -16.2148        29.0769
      122.341        52.3933              0        1994.44       -21294.1        -204902        8.91276        -95.167       -915.733        4.44133
      227.816        51.7223              0       -61.5894        45935.7        -181414      -0.275213        205.293       -810.761         6.4636
      228.273         78.517              0       -10.6848        31.6529       -1908.83     -0.0476768       0.141381       -8.53078        24.0609
     -16.3595        67.2535              0        3.96253       -10.7295       -8267.27       0.017794     -0.0479816       -36.9463         19.303
     -16.4912         56.328              0        225.532        134.371       -24915.4        1.00781       0.600659       -111.348        12.1111
      87.6325        56.6508              0       -243.513        335.299        85165.2       -1.08783        1.49877        380.614         5.3888
      51.8477        71.8995              0        67.7148        46.0149       -14962.1        0.30245        0.20576       -66.8673        27.2727
      129.297        52.7043              0        2781.04       -22622.9         187231        12.4304       -101.105        836.753        5.05788
       172.54        52.4446              0       -5654.16       -27083.9         228281       -25.2685       -121.041        1020.21        5.92792
      163.767        51.6293              0        144.926          75496        -269467       0.647816        337.393       -1204.27        6.12991
      7.68608        52.6436              0       -32.3719       -16152.5         154007      -0.145066       -72.1868        688.275        6.23261
      19.8799        51.6363              0        339.207          67813        -245649        1.51575        303.066       -1097.84        5.90412
     -8.84274        51.7139              0        309.441          21523        -104270        1.38346        96.1878       -465.991        7.20631
     -16.2354        53.5723              0       -249.908       -4753.92       -37788.7       -1.11681       -21.2458       -168.882        14.4008
      81.0872        65.4583              0       -130.941        104.521       -31672.6      -0.585096        0.46693       -141.549        25.6688
      58.8595        51.6071              0       -3486.98        71798.7        -281905       -15.5827         320.88       -1259.87        6.00547
     -18.3927        63.7445              0       -23.5427         14.484       -10361.1      -0.105222      0.0648334       -46.3032        14.0384
      -13.177         51.927              0        843.695        19410.9        67492.5        3.77028        86.7507        301.632        9.32371
      56.4904        78.6665              0       -37.6584        33.8798       -2901.02      -0.168475       0.151252       -12.9647        22.4543
     -17.2563        78.0315              0       -11.6248        25.0045        1297.28     -0.0518696       0.111714         5.7977        30.4784
      41.0359         51.343              0        766.703        72553.4         294548        3.42707        324.247        1316.37        4.47799
      11.2107         52.738              0       -903.332       -26203.9        -166204       -4.03771       -117.108       -742.792         5.2811
      255.422        63.2479              0       -45.4425        11.3285       -7903.08      -0.203152      0.0506745       -35.3196        13.7004
      13.1426        56.7398              0        364.504        882.955       -69462.2         1.6287        3.94657       -310.432        7.10406
