       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
       98.777        74.3424              0        9732.57       -17222.2         284777        22.5188        -39.842        658.754        3.93807
      248.396        99.9366              0          23.46        47.1506       -1422.12      0.0544839       0.109291        -3.2907         49.675
      239.308        89.3238              0       -12.1953        13.0179       -11726.3     -0.0287432       0.030925       -27.1302        33.1386
      219.996          97.64              0        45.4891        71.0983        6469.84       0.105598       0.164258        14.9669        40.6757
      27.0683        100.967              0        -39.472        149.086        3714.36      -0.091097       0.344922         8.5937        31.5152
      194.174        100.204              0       -72.0397       -37.0808        4475.91      -0.166603     -0.0857194        10.3542        43.7345
      236.374        75.7264              0        2512.87       -6382.09        73122.2         5.8184       -14.7643        169.141        10.9527
      230.572         96.958              0       -10.7192        29.5339       -6374.28     -0.0243733      0.0677506       -14.7405        50.3155
      3.32109        84.3517              0       -24.5979       -57.6733        35908.9     -0.0571724      -0.132618        83.0603        17.6574
     -14.7951        86.2545              0        -90.456       -86.9038       -15783.5      -0.209611      -0.201941       -36.5052        23.1612
      96.1919        73.3535              0        3652.01         110610         430219        8.44129        255.883        995.145        2.35266
      64.9009        74.0186              0        2811.86        81433.8        -389956        6.51066        188.475       -902.238        6.83198
      113.932        74.0514              0        266.579        88421.4        -364186        0.62183        204.591       -842.417          7.026
     -9.02159        75.8476              0        239.254       -12357.4        90993.6       0.554162       -28.5841        210.465        10.2457
       51.288        73.8518              0       -1420.75         102048         339421       -3.27845        236.048        785.119        5.71194
      209.815        98.1508              0        48.8402       -9.30469        7132.26        0.11286     -0.0215173        16.5005        36.2356
      127.083        73.5247              0        653.424          82535         367484        1.51197         190.94        850.063        3.51703
      142.816        74.7562              0       -4506.49       -27815.7         236714       -10.4269       -64.3376        547.553        3.25716
      37.3721        100.576              0        62.9786        42.9283        4611.11        0.14566      0.0991664        10.6686        37.3912
     -16.6347         89.761              0         41.474        32.5842       -10910.4      0.0957126      0.0753216       -25.2406        39.2818
     -3.22112        99.9952              0        17.7352       -6.98465       -3348.31      0.0412811     -0.0161354        -7.7439        47.5639
     -11.5234        74.6705              0       -1291.53        22407.3        96176.1       -2.98508        51.8282        222.461        13.0411
      111.347        100.537              0       -136.269        57.9714        4717.93       -0.31431       0.134097        10.9134         38.256
     -15.2092        76.7506              0       -1354.82       -5658.29        46096.4       -3.13568       -13.0919        106.632        22.9866
      80.2159         100.15              0        31.9587        69.4753        5395.39      0.0724857       0.160862         12.479        45.0167
     -16.3904        99.9401              0        3.60604         29.995         2025.5      0.0081551      0.0698038        4.68656        49.7013
     -18.0491        75.0801              0        2041.96        11243.9        48267.5        4.72236        26.0038        111.643        18.2617
      26.7865        77.9873              0       -350.464        625.696        -120356      -0.808606        1.44728       -278.409        13.1058
      151.553        78.9376              0        406.975        -53.045        -102489        0.94352      -0.119286       -237.073        11.0288
      42.0774        98.1985              0        6.14488        28.6092       -8789.01      0.0138208      0.0664362       -20.3322        35.2629
     -13.0251        95.4148              0        1.34896       -15.4423       -6454.26     0.00313416     -0.0362028       -14.9362         70.143
       59.088        74.6326              0        -1786.1       -32272.2        -240163       -4.11522       -74.6692       -555.503        2.57858
      165.429        78.2439              0       -687.855        770.311        -117082         -1.592         1.7771       -270.808        8.77727
     -15.3206        80.1842              0        70.2064        13.6609       -28886.8       0.161011      0.0311631        -66.815        20.6884
      48.9898        74.8542              0       -3089.53       -20774.2         248930       -7.15433       -48.0517        575.797        6.05261
        93.75        74.4089              0       -5345.01       -30888.1        -271897       -12.3632       -71.4668       -629.062        3.99864
       87.198         83.812              0       -7.68176        222.917       -58787.9     -0.0214428       0.517193       -136.003        24.1441
      132.525         100.64              0       -64.1683        14.3388        4315.55      -0.147848      0.0331197        9.98303        36.6416
      188.951        92.5071              0        49.6852       -87.4492       -21491.9       0.114451      -0.201948        -49.712        41.5403
      144.657        73.9569              0        1959.45        87798.2         331660        4.53366        203.093        767.213        6.38261
