       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      431.155        74.6456              0       -15.1378        105.504          30389     -0.0199359       0.130666        37.6867        9.03674
      46.4335        70.2147              0        4219.82       -30242.5         226376        5.23597       -37.5017        280.661        5.25646
      339.154        83.0134              0       -3.83327         30.034       -37330.5     -0.0050068      0.0375589        -46.292        22.3614
      19.7107        74.0198              0       -330.374        372.482       -91650.5      -0.409286        0.46241       -113.653        5.98508
      421.866        70.4609              0       -161.212       -11585.4       -94161.2       -0.20098       -14.3648       -116.749        5.76349
      439.202        95.4854              0        9.26348        46.3939       -1199.87      0.0113863      0.0575391       -1.48786        31.6624
        392.1         69.038              0        6583.17        79430.5        -302925        8.16881        98.4877       -375.594        5.42881
       252.68        94.2325              0        21.6786        18.8506        7558.64       0.026983      0.0234744        9.37106        24.2194
      160.682        72.4504              0       -104.642       -271.441        -134959      -0.131602      -0.335209       -167.345        7.95508
      283.069        72.2397              0         560.44        534.096         141904       0.695671       0.660425        175.935        7.41112
      438.235        83.7243              0        50.1864       -80.7277       -8009.55      0.0624744      -0.100871        -9.9276        20.1151
      80.2644        69.0226              0        2443.71        82576.1         324962        3.02815        102.376        402.908        5.49999
      367.209        69.1019              0       -289.714        80273.3         313429       -0.36505        99.5505        388.661        5.96584
      165.848        74.4006              0         43.381        376.645       -99050.1      0.0536632       0.465852       -122.813        9.50554
      437.119        91.8844              0       -18.1717        36.9108       -3174.85     -0.0222998      0.0457268       -3.93701        37.2534
      91.1834         73.885              0       -8.59845        364.713        -105232     -0.0107236       0.450196       -130.482        7.55151
      286.531         70.117              0        1994.01       -25019.5         229950        2.47597       -31.0268        285.131        5.80163
      386.979        69.9511              0        1180.88       -31236.2        -227839         1.4556       -38.7277       -282.471        4.98474
      263.244        69.0639              0        2178.93        75846.6        -319568         2.7033        94.0458       -396.251        5.76832
      13.3472        89.3988              0       -61.0729        49.0421       -14558.1     -0.0758902      0.0607001       -18.0504        29.8864
      270.314         69.211              0       -3083.94        82406.7        -317142       -3.82799        102.171       -393.267        6.54711
      5.24586        93.2958              0        32.1487        15.0029        6521.85      0.0396931      0.0185687         8.0858        28.5585
     0.410487        70.2385              0          192.1       -20102.7         139760       0.238369        -24.923        173.285        6.36076
      149.598        95.8556              0       -15.2437        62.8792        4271.88     -0.0191515       0.077577        5.29902        26.7328
      81.9891        70.0987              0        3398.01       -24606.8         220264        4.21816       -30.5092        273.125        5.55569
      80.1006        74.0312              0       -977.605        207.277        -104980       -1.21458       0.257074       -130.159        9.74167
      308.162        70.2837              0       -953.107       -24718.3         228597       -1.18556       -30.6414        283.402         6.3801
       9.2777        86.7109              0       -19.0254        219.939       -18894.8     -0.0235236       0.271608       -23.4239         30.276
      42.9564        72.5776              0       -229.003        696.646        -132614      -0.282557       0.863319        -164.41        6.83017
      310.861        93.3137              0        -11.052        30.9117         9643.9     -0.0129068      0.0392129        11.9552        27.7871
      172.756        74.0758              0       -1121.67        386.272         101925       -1.38963       0.481717        126.393        7.78753
