       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      340.246        90.3832              0        66.5874        118.484        15690.7       0.212274       0.378368        50.0297        74.7431
      412.992        68.4351              0        2351.96        86545.7         334784        7.50584        275.913        1067.19        1.02366
      120.408        84.3302              0        229.989       -42.1391       -34843.9       0.733266      -0.134621       -111.096         34.991
      146.027        73.8474              0        142.778        272.301         105316       0.458349       0.864536        335.775        5.25419
      370.846        73.9514              0       -662.623        -918.14        99912.2       -2.10912       -2.91997        318.561        6.79748
      381.704        68.3105              0       -9179.79         148198         617938       -29.2637        472.456        1970.07       0.381298
      239.287        68.2045              0       -5696.96         122460        -645924       -18.1144        389.664       -2056.95       0.192902
      233.752        69.0566              0        1732.77       -48664.4        -344480        5.51566       -155.131        -1098.1        2.23349
      421.644        94.7604              0       -40.4183        94.6962        3082.37      -0.129003       0.301778        9.82772         62.333
       397.35        93.8861              0        5.58127       -43.0979        6502.68      0.0182096      -0.137277        20.7324        77.8665
      326.609        90.3045              0         35.628        134.991       -15433.6       0.113317       0.430199       -49.2006        85.6917
     -16.9684         81.558              0        94.2478        5.06368          13669        0.30099      0.0167526        43.5762        44.9587
      397.849          68.42              0        -6119.2         133113         469318       -19.4846        424.365        1496.21        1.30082
       370.55         69.095              0       -335.908        -586.78        -319241        -1.0722       -1.86093       -1017.81       0.940454
      95.2983        91.1569              0       -48.2198        74.3992         -14039      -0.153989        0.23711       -44.7627        61.4458
      18.6056        89.3493              0        38.2886        148.487        16193.7       0.122763       0.474471        51.6296        90.5877
      319.718        94.3216              0        7.64287        18.5805       -7444.82      0.0260665      0.0580198       -23.7304        71.7592
      244.508         68.834              0         4647.7       -43521.4        -400821        14.7925       -138.766       -1277.97         1.1288
      365.867        91.3409              0        5.86478        167.006       -13026.6      0.0191832       0.531036       -41.5315        59.8526
      401.879        68.7793              0       -3605.69       -39107.1        -335930       -11.5081       -124.669       -1070.78       0.985965
      349.268         68.367              0       -10116.5         117198        -449845       -32.2531        373.477       -1434.05       0.593654
     -6.50585        78.4719              0         28.677       -52.1304        31008.3      0.0911303      -0.167046        98.8656        33.7121
      4.90361        68.9427              0       -6496.14       -16276.2         268167       -20.7162       -51.8922        855.001        1.81701
      49.4004        95.2316              0       -6.41982       -41.3161       -5469.37     -0.0205377       -0.13062       -17.4413        53.1931
       79.199        73.9949              0       -595.452        120.945        -107683        -1.9001        0.38472       -343.314        6.35109
      414.156         83.532              0       -283.829        269.609       -22592.4      -0.907731       0.857944       -72.0328        61.9252
      44.2436        68.6628              0       -11319.2       -53004.2         482979       -36.0642       -168.964        1539.25       0.882707
     0.783131        94.2996              0       -180.654        27.1498        4758.41      -0.576998      0.0861864        15.1707        70.0195
      181.242        78.9442              0        2.19311        264.312       -56551.3     0.00667305       0.841461       -180.319        17.4157
      116.083        74.2101              0       -85.8051        149.215         102354      -0.272819         0.4639        326.328          10.97
      35.7485         72.828              0        3551.22        1857.36        -124416         11.324        5.92822       -396.653        8.89456
     -16.2495        68.9715              0        232.399        19119.6        81860.4       0.734441        60.9186        260.855        8.51981
      408.922        93.7406              0       -4.22141        31.0504         5920.5     -0.0135938      0.0990379        18.8773        80.7771
      216.757        72.7816              0        58.1221        726.182        -130694       0.188207        2.30829       -416.819        9.88592
      69.6298        89.5273              0       -9.06656        161.134          18314     -0.0290047       0.513584        58.3915        99.5709
      -12.616        69.7333              0       -4993.27       -11819.9       -82109.7       -15.9249       -37.6817        -261.36        5.13512
       52.302        74.8186              0        351.415        462.376        93570.4         1.1163        1.47683        298.354         8.6218
      288.238        68.6559              0       -10059.7       -59397.3        -523105       -32.0428        -189.24       -1667.45        1.12714
      87.4311        69.1822              0        940.831       -2493.78         325847        2.97646       -7.92751        1038.73        1.19128
      364.108        70.9082              0        157.309        2297.04        -175088       0.500954         7.3141       -558.269        5.52536
      398.669        76.8917              0        263.516       -53.1348       -57560.5       0.838822      -0.168615       -183.533        14.1478
      197.769        74.4842              0        -602.78        1413.84        -102196       -1.92076        4.51014       -325.826        13.8554
      289.414        68.4046              0        4393.73         136076         657334        14.0308        433.829        2095.56        1.32693
      37.8725        68.3212              0       -2726.68         113318         531545       -8.62088        361.086        1693.91       0.732541
      62.8359        93.4811              0        32.7882        128.618       -9796.78       0.103749       0.410966       -31.2399        86.2585
      32.6399        68.1379              0       -882.186         154955        -684416       -2.80921        493.803       -2181.36       0.533748
     -12.8549        77.6182              0        396.988       -147.997       -25493.6        1.26378      -0.470869       -81.2596        45.4768
      148.468        68.3667              0       -3871.07         112954         577796       -12.3617        360.024        1841.57        0.75389
      126.447        94.3091              0        140.071        185.383       -8156.32        0.44826       0.588186       -25.9988        71.2568
       78.587        68.9828              0         3315.3       -61888.4        -405713        10.5759       -197.314       -1293.41        2.48468
      79.6634        68.4551              0        1713.32        90405.3        -454428        5.45265        288.228       -1448.76       0.872297
      333.368        93.9829              0       -58.0228          77.69        8020.09       -0.18546       0.246549        25.5694        78.8001
      107.966        91.3235              0        15.6488        55.1981        13730.8      0.0498013        0.17544        43.7766        67.1495
       18.554        82.5649              0        204.508       -190.651       -34318.6       0.654328      -0.610362        -109.41        51.7572
      213.276        83.0241              0        -119.23        224.304        38240.9       -0.37884       0.714324        121.934        33.3748
      101.323        95.2968              0        32.8089       -29.3625       -5146.16       0.104252     -0.0934443       -16.4106        51.0717
      102.801        68.7702              0        5192.52       -36978.6        -378219        16.5698       -117.885       -1205.85        1.10466
      172.327        92.0084              0        -17.725      -0.247602          12313     -0.0567924    -0.00051276        39.2629        31.3409
       164.21        68.2895              0        19524.8         165178         629178        62.2192        526.476         2005.4        0.56873
       174.72        68.4948              0       -5024.79         104803        -457968        -16.005        333.999       -1459.42       0.870752
       84.731        68.4045              0           1932         109659         521384        6.14577        349.604        1662.25       0.937336
      195.096        69.6324              0       -709.043       -1924.44         263880       -2.25372        -6.1417         841.31        2.00355
      57.8425        68.9435              0       -2225.57         -33527         364073       -7.08819       -106.851        1160.27        1.64613
      153.563        94.5739              0       -13.7325       -10.9662        7026.02     -0.0439205     -0.0365894        22.3965        65.8234
      316.673         68.373              0       -14855.5         125058         615510       -47.3286        398.695        1962.42       0.690928
      100.028        68.4639              0       -5662.04       -38051.2        -418308       -18.0578       -121.309        -1333.7       0.244394
      59.8134        79.4715              0       -235.248        -80.018         -56802      -0.751178      -0.254888       -181.112        29.8457
      124.837        70.3587              0       -805.612       -3480.86        -212758        -2.5628       -11.1094        -678.29        2.72312
      143.295        68.4419              0        2706.99        68214.4        -471962        8.64613        217.475       -1504.64       0.974189
      166.731        81.6151              0        -351.91        74.6254       -43910.8       -1.12005       0.232708       -140.001        36.2341
      143.769        91.3133              0       -32.5528        87.5971          13893      -0.102589       0.277961        44.2992        38.5212
      127.093        68.1856              0       -5615.73        96794.8        -598473       -17.9084        308.049       -1907.24       0.308807
      106.005        68.4251              0        7941.07         127095        -623985        25.3194        405.205        -1989.7       0.843681
      159.613        68.5732              0        11692.1       -18960.5         399853        37.2748       -60.4573        1274.94       0.577998
       161.28        90.9949              0       -91.3884       -7.12874       -14834.1      -0.292505      -0.022034       -47.3084         71.063
       251.32        89.7162              0         24.692       -21.7294        17681.2      0.0772339     -0.0673473        56.3772        51.0842
      142.823        85.2995              0       -132.727        293.937       -30112.8       -0.42373       0.935451       -96.0086        33.4168
      142.505        68.9947              0        6298.48       -53447.6        -373663        20.0738       -170.409       -1191.31        1.85942
      366.967        86.4701              0       -47.8982        119.901       -25718.4      -0.152799       0.383213       -82.0006        31.1313
      147.743        68.9603              0       -2786.03       -52001.7        -346786       -8.86909       -165.788       -1105.57        1.66026
      70.3222        76.8484              0        582.602        720.695       -76791.2        1.86077        2.29525       -244.818        14.4677
      73.1941        76.9826              0        56.6109       -12.1115       -76680.9       0.180043      -0.039372       -244.469        19.6677
      245.357        68.3139              0        1245.67         143405         490438        3.98085         457.14        1563.45       0.660155
      91.5595        71.6443              0       -1048.73       -938.289        -146804       -3.33668       -2.97734       -468.111        2.64207
      283.609        68.4217              0       -4851.15        97724.7        -542610       -15.4365        311.494       -1729.84        0.93376
      272.727        68.3144              0        9602.88         128389        -610362        30.6213          409.3       -1946.03       0.683597
      250.414        72.5298              0        -831.35       -8.03876         130090       -2.64654     -0.0245678        414.761        6.74525
      212.261        68.4024              0       -5411.13         104327        -602351       -17.2747        332.637       -1919.06       0.765003
      110.819        68.7726              0       -5713.93       -62756.9        -469407       -18.1369       -199.924       -1495.17        1.16441
      245.549        74.7884              0        -239.88       -330.061        92911.6      -0.764658       -1.05579         296.23        18.8806
      169.752        68.4888              0       -12856.2         119597        -541400       -40.9888        381.322       -1726.19        1.05576
       31.355        69.0746              0        11181.1       -32541.7        -364322        35.6541       -103.704       -1161.45        1.79143
      403.075        68.4525              0        2707.92        82065.3        -382733        8.61995        261.611        -1220.1         1.7148
      294.186        69.1227              0       -1349.26       -46671.5         326021       -4.28571       -148.791        1039.45        1.61093
      139.518        82.5693              0        25.0991       -39.9592       -39904.1      0.0786568      -0.127911       -127.217        22.3188
      137.428        69.0288              0        2162.68       -46341.6         329041        6.86552       -147.707        1048.86        1.32223
      277.653        84.9084              0        213.742        189.435       -33252.2        0.68285       0.605259       -106.011        30.7318
      241.884        81.8261              0       -89.6379         266.45       -45097.1      -0.285819       0.849218        -143.79        18.9771
      315.838        68.8342              0       -2396.15       -33018.9         399114       -7.64199       -105.202        1272.21        1.59401
       131.38        69.6471              0        2775.17        233.783         273600        8.85672       0.732649        872.291        0.85009
      21.0615        68.7056              0        -7853.2       -34775.7        -402265        -25.001       -110.819       -1281.98       0.427625
      332.512        78.7565              0        121.855        162.505       -60582.4       0.388713       0.518663       -193.152        31.8857
      311.059        68.5718              0        3243.09         101875         479162        10.1406        324.647        1527.21        1.16852
      76.5441        94.0462              0        18.7002        64.8985       -8063.34      0.0594335       0.207056       -25.7092        75.3439
      332.626        69.1362              0       -6673.12         -39152        -349236       -21.2432       -124.699       -1113.37         1.8054
       53.598        85.6836              0       -134.578        131.734        29263.3      -0.430255       0.418589        93.3058        36.4849
      418.719        68.6783              0       -241.454          40725         181924      -0.799234        129.227        578.999        1.72835
      438.762        81.4472              0        35.5601       -141.428        9899.33       0.113498      -0.450557        31.5639         47.465
      372.075        84.4623              0        82.1273        88.6997       -32503.7       0.261795       0.283348       -103.638        28.6997
       348.29        69.6275              0        874.611        3372.92        -265353        2.78159        10.7442       -846.081        1.50819
      333.217        68.6188              0       -4950.96         103166        -542111       -15.7524        328.822       -1728.11        1.18285
      341.613        74.9724              0        159.476       -649.747       -92486.7       0.510523       -2.07488       -294.865        14.9806
      346.367        94.4002              0        89.4131        146.551        6944.56       0.284564       0.468045        22.1437        69.9299
      434.188        95.3386              0         86.473        45.6977        -1480.6       0.276144       0.145067       -4.71999        53.1134
      432.058        69.5106              0       -1210.95        15282.4       -70467.9       -3.86607        48.7206       -224.683        13.8391
      120.333        90.3357              0       -18.6846        161.063       -16861.5     -0.0581297       0.513667       -53.7588        61.3752
      434.834        70.5495              0       -304.678       -5674.01       -44469.8      -0.973901       -18.0913       -141.772        9.26456
      83.1382        89.9063              0       -32.5387       -11.3215       -17389.2      -0.103935     -0.0358036       -55.4446        73.3265
      132.512        68.3529              0        4490.47         111554         613203        14.3116        355.675        1954.97       0.873687
      427.303        74.4601              0        6.69305        357.708       -40522.4       0.024895        1.13539       -129.191        24.3368
      399.335        72.8985              0        1184.36        1712.51        -101813        3.77457        5.45687       -324.587        8.70306
        403.9        72.5706              0        1063.09       -473.576         100199        3.38988       -1.50891        319.439         4.9786
      89.7161        68.4106              0       -6606.81         127383         572991       -21.0499        406.046        1825.98       0.367157
      388.215        76.9689              0        62.6368          98.22        63185.7       0.194422       0.311141        201.446        20.3364
      371.709        95.2761              0        64.3043        70.5291       -4899.12       0.203618        0.22371       -15.6209        51.7949
      318.114        81.4921              0       -109.264       -237.408        43361.7      -0.347337      -0.755458        138.256        28.5159
      438.073        69.0389              0       -1553.91         8876.8       -42822.9       -4.95374        28.3011       -136.536        10.9109
      37.6346        95.1713              0        56.5219        15.3963       -5701.12       0.179938      0.0467306       -18.1702        54.8263
      42.8852        71.8173              0       -323.639       -215.432         152931       -1.03242      -0.683352        487.587        9.70806
      267.645        94.7046              0        -3.9689        70.3204        6450.91     -0.0121534        0.22436        20.5679         64.055
      435.386        86.0302              0        102.075       -167.061        7520.85       0.325294      -0.532357        23.9781        39.5988
      87.0774        68.4931              0        1813.63       -24373.7         520334        5.82886       -77.6965        1658.63       0.519744
      183.661        72.5326              0       -84.6322       -107.761        -135903      -0.268978      -0.345141       -433.297        8.28169
      42.7804          68.48              0        11196.7         133220        -566359        35.6373        424.626       -1805.26       0.865965
     -3.67015        91.2936              0        103.499          153.8        8208.68       0.330313       0.490312        26.1672        49.0307
      218.217        68.3025              0        15090.4         118644        -648639        48.1003        378.286       -2068.31       0.873162
      48.1346        85.1012              0       -21.2085        4.29041       -30692.8     -0.0682527     0.00977722       -97.8563        23.6215
     -3.54701        69.0123              0        4662.69        43802.9         182985        14.8574        139.544        583.223        6.76498
     -6.44795        83.3499              0        27.0238        -41.831        19430.5      0.0871037      -0.132595        61.9586        39.4036
      42.8499        92.4029              0        47.3793        65.4404       -11458.4       0.150703       0.209591       -36.5321        39.9719
      89.0068        93.8601              0        11.0302         11.445       -8487.63      0.0351021      0.0369846       -27.0626        77.9807
      114.327        94.0267              0       -3.81779        39.3455         8139.1     -0.0128744       0.125089        25.9501         76.309
      414.637         90.501              0        15.4989        43.9807        8979.02      0.0493377       0.140246        28.6289        68.5763
      58.4338        68.4328              0       -9601.94         114093         503025       -30.6189        363.176        1602.66       0.536561
      331.199        73.7391              0       -578.213        379.273        -105429       -1.84186        1.20804       -336.133        13.0851
      294.694        68.5956              0       -5327.04        82278.3        -460260       -16.9808        262.319       -1467.26       0.836161
       259.05        70.6334              0       -254.899       -435.763        -193429      -0.807636       -1.38678       -616.762        3.22684
      250.304        69.1564              0       -11853.2       -25187.4        -340723       -37.8044       -80.2988       -1086.44         1.7138
      391.981        68.7968              0       -5363.82       -32656.8         385702       -17.0832       -104.043        1229.51         1.0723
      313.946        83.2478              0        63.2826         380.12       -36285.1       0.201343        1.21037       -115.694        29.6094
      326.891        68.6509              0        5683.33         120446        -442274        18.0988        383.966        -1409.8       0.800965
      42.0209        68.8651              0       -15060.6       -44650.1        -421655       -48.0057       -142.368       -1344.18         1.4587
      21.4351        68.2177              0        10937.7         174524         640824        34.7975         555.92        2041.72       0.383934
       364.94        68.6371              0        3377.62       -56935.1        -440937        10.7611       -181.528       -1405.73       0.783606
      235.042        68.5876              0        1779.72         120878         484384        5.68576        385.079        1543.55        2.26281
      99.6979        75.1816              0       -182.047        670.691       -89335.6      -0.578575        2.14047       -284.848        19.9365
      105.037        68.9781              0        182.473       -63871.9         412712       0.579224        -203.64         1315.9         1.8429
      183.349        82.1937              0       -100.915        300.153       -40783.2      -0.322055       0.956623       -130.028        34.7023
      256.305        83.1285              0       -239.637       -72.8191       -37790.8      -0.759699      -0.232497       -120.489        24.1053
      138.046        68.5757              0       -3545.91         108242         419376       -11.3036        345.008        1336.75        1.28852
      184.908        68.3357              0       -2369.98        78400.9         478722        -7.5259        249.725        1525.07       0.485411
      251.053        68.3422              0        4095.68         134519         557237        13.0475        428.907         1776.7       0.854277
      25.1447        93.4932              0       -44.9101       -2.72691        8704.48      -0.143886    -0.00928125        27.7505        86.7357
      31.4481        90.6645              0        84.5466        122.045        14773.4       0.269149       0.387544        47.0997        65.0225
      37.2133        68.6507              0        7204.61       -32452.6        -412656        22.9233       -103.417       -1314.92        1.19178
      19.7091        73.8586              0         217.57        924.481       -98559.7       0.698038        2.94971       -314.223        7.50628
      74.7906        69.6805              0         1619.1       -2063.61         255893        5.13747       -6.54039        815.568        1.88692
      3.00362        82.5374              0       -10.5725       -44.5147       -27399.3     -0.0338472      -0.141555       -87.3641        24.7072
      26.6745        68.5203              0        2435.17        98963.1        -435407        7.76655        315.506        -1388.2       0.927096
      11.5811        69.1537              0        1820.07       -35191.2         262163        5.81772       -112.216        835.823        2.23728
      16.1031        69.0169              0       -14025.4       -16294.5        -365901       -44.7082       -51.9532       -1166.66        1.42451
      62.8501        69.0337              0         2444.5       -40730.6         348769        7.76682       -129.807        1111.86        1.23123
     -10.7539        68.7617              0        1337.87        20423.2        -113977        4.27377        65.1083       -363.123        4.11542
      25.9983        68.7834              0       -5067.57       -47680.8        -364442       -16.1554       -152.014       -1162.02       0.876356
      1.80866        69.0651              0       -6052.77       -26880.3        -242375       -19.2853       -85.7069        -772.78        3.53489
       53.607        68.5266              0       -606.279         107092         587058       -1.95429        341.418        1871.68        1.50014
      64.0007        68.3917              0       -4577.93         161751         589982       -14.6141         515.67        1880.93        1.42996
      10.8615        68.4138              0        535.343          88205        -439123        1.69455        281.244       -1400.11        1.12989
       68.296         72.765              0       -1648.68        216.522        -140275       -5.23173       0.709866       -447.203        6.19716
     0.463724        68.5253              0        9297.62        74688.5         291411         29.652        238.148        928.939        2.44915
      52.7413        69.1783              0       -161.887       -41493.9        -339136      -0.524128       -132.283       -1081.33        2.05518
      48.0444         68.228              0        16527.4         116461         711030         52.696        371.286        2266.88       0.487045
     -5.13889        69.8813              0        566.929       -18111.3        -131590         1.8137       -57.7343       -419.373        4.79546
      163.771        68.7042              0       -5770.76       -51362.9        -420511       -18.4052       -163.755       -1340.69       0.627993
      302.658         77.021              0        143.572        299.337       -72268.9       0.457757       0.951808       -230.395        12.4394
       132.37        74.0486              0       -138.027         578.53         104340      -0.440391        1.83936        332.669        11.0888
      -12.797        85.7918              0        -38.792        16.6194       -11219.4      -0.124016      0.0532123       -35.7641        37.4575
