       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      438.386        94.9265              0       -10.6786       -26.0182       -1325.14     -0.0325533     -0.0794768       -4.03233        49.9846
      24.2731        68.8563              0       -4338.14       -43774.6         327766       -13.2042       -133.255        997.705        1.65307
      268.266        84.8857              0        44.2502        52.1644       -32500.6       0.135293       0.158591       -98.9353        41.7549
      358.415        77.9983              0       -233.976         270.15         -63378      -0.712164       0.822199       -192.921         10.838
      260.871        68.7802              0        769.573       -53485.9        -462666         2.3457       -162.826       -1408.52       0.892417
      428.415        69.0981              0       -1445.18        25630.3         119410       -4.39934        78.0186        363.494        7.94234
      124.223        70.0471              0       -586.421       -399.857         241146       -1.78995       -1.22698        734.084        2.73517
      179.713        68.7402              0       -398.548       -49175.8        -493862       -1.22306       -149.713       -1503.35       0.778614
      262.083        92.8067              0         5.2478        88.6592          10530      0.0160875       0.269805        32.0536        51.2697
      58.4102        94.3881              0        20.7467        127.474        7500.61      0.0633642       0.388035        22.8312        56.7832
      347.295        68.1834              0       -1015.37         108771        -537276       -3.09045        331.115       -1635.45       0.593176
      376.141         68.317              0        3392.16         146464         558246        10.3398        445.859        1699.44        1.14547
      415.155        72.6393              0        479.385        243.153        77824.3        1.46082       0.739779        236.887        4.22391
      67.5662        68.8536              0       -12564.5       -31481.7         428138       -38.2486       -95.8344        1303.28        1.10516
      229.156             69              0       -4441.75       -36152.6         358253       -13.5222       -110.054        1090.55        1.49516
      23.4061        68.3588              0       -4166.09         101758        -426259       -12.6784        309.742       -1297.47       0.989463
      37.3548        68.3281              0        10004.3         125317        -558136        30.4526        381.472       -1698.99        1.07006
      389.295        93.6138              0        6.76631        63.5629        7316.59      0.0204881       0.193177        22.2694         35.972
      63.5659        68.3335              0        -6747.2         127387        -595767       -20.5403        387.789       -1813.56       0.943028
      391.568         68.438              0       -10386.1         130821        -428147       -31.6161        398.254       -1303.36        1.40202
       -4.682        74.3128              0        1.87312        6.55457        56244.7     0.00508742      0.0212626        171.216        13.1571
      199.227        92.8093              0        9.08624        53.9938       -10744.6      0.0274716       0.164287       -32.7066        50.2644
       103.07        68.7903              0       -1315.12       -30074.8         392337       -4.00911       -91.5445        1194.27        1.14956
     -1.57064        69.0107              0        -830.57       -19027.8         207417       -2.52813       -57.9176        631.383        2.40075
      122.829        94.5091              0        87.4755        92.8027        7022.28       0.266083       0.282348        21.3769        54.7834
     -3.51609        95.5845              0        14.5833        54.7438        2948.77      0.0443997       0.166881        8.97692        37.9545
     -11.3742         69.251              0        3441.87        26020.1        -116049        10.4772         79.207        -353.25        9.81665
     -7.71555        91.4188              0        10.5882        44.5945       -6892.43       0.032282       0.135598       -20.9778        48.9544
     -15.0715        71.3231              0       -1417.45        -4900.2       -55249.1       -4.31593       -14.9166       -168.171         20.523
      74.8098        90.9793              0       -81.5178        -25.662       -15087.9      -0.248249     -0.0783026       -45.9254        67.3581
      -16.403        94.9297              0       -12.5595       -17.2687       -2121.94     -0.0382485     -0.0524902        -6.4592        49.6974
     -18.0465        70.0721              0        1403.39        12660.9       -49899.9        4.27169        38.5413       -151.895        18.2147
       85.354         68.663              0        1394.26       -41402.6        -420706        4.24623        -126.03       -1280.63       0.599344
      247.213        94.9401              0       -33.3231        134.419        6039.61      -0.101385       0.408898        18.3866        47.7506
      117.079        68.8364              0        16820.3       -46215.2        -514198         51.202       -140.674       -1565.15       0.969399
      6.83664         95.216              0       -17.7661         95.619        3913.91     -0.0542022       0.291085         11.914        43.3484
      40.7391        87.8549              0       -36.7198        251.554       -23379.9      -0.111969       0.766236       -71.1713        44.8775
      104.075        68.4569              0        845.079         126319        -513418        2.57294        384.573       -1562.89        1.26913
      5.21387        68.7615              0        2138.91       -28503.8        -256461        6.50844        -86.763        -780.64       0.750491
      143.588        70.7075              0       -606.247       -554.739         190455       -1.83968       -1.68138        579.737         3.7744
       416.67        72.2544              0       -84.4344        1645.58        78860.5      -0.257879        5.00901        240.061        6.00764
       337.12        68.8077              0           6295       -54115.4        -431967        19.1605       -164.731          -1315        1.39431
      52.4706         91.737              0       -13.0443        96.0362         -13527     -0.0399479        0.29274       -41.1784         57.778
