       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
     -74.7189            258              0        109.648        667.315       -2019.02      0.0123399      0.0754581      -0.228174        493.843
      495.547            258              0       -3.16132        395.012       -1153.19   -0.000362426      0.0445166      -0.130678        492.713
      11.9846            268              0        21.5601       -532.498       -2030.95      0.0024963     -0.0602975      -0.229456        542.837
      553.304            268              0         6.5243       -73.2474       -149.672    0.000740932    -0.00830534     -0.0169765        607.954
      244.176            258              0        138.522        1683.66        -5361.9      0.0155843       0.190408      -0.605591         457.52
      428.029            258              0         23.911        772.654        2244.92     0.00277965      0.0874179       0.254413        476.446
      340.652            268              0       -79.8137       -487.678        2427.34    -0.00898209     -0.0551398        0.27462         534.31
      228.935            268              0       -2.37258       -757.875       -2644.75   -0.000211488     -0.0857791      -0.298845        523.573
      276.272            258              0       -210.415        1669.98        5480.42     -0.0238099       0.188734       0.619428        459.254
     -6.95255            258              0       -35.6294        1055.73       -3591.61    -0.00395951       0.119394      -0.406344        478.122
      113.624            258              0       -68.5387        1543.88        -5211.5    -0.00778044       0.174689      -0.590436        473.897
     -58.3482            268              0        14.9021       -204.361        968.918     0.00168484     -0.0230848       0.109949        560.976
      81.2139            268              0        215.128       -640.284       -1805.31      0.0243629     -0.0723747       -0.20436        541.912
     -132.392            268              0       -74.4156       -150.862       -458.047    -0.00844184     -0.0170683     -0.0516784        605.301
      -146.95            258              0        21.9317        156.833       -763.003     0.00242133      0.0178129     -0.0861069        544.387
      308.615            258              0        67.7846        1366.14        5624.08     0.00765029       0.154283       0.635071        464.674
      26.3053            258              0        186.859        1302.81       -4072.41      0.0210602       0.147387      -0.460547        475.644
     -186.718            258              0        9.39585        139.803       -426.029     0.00108069      0.0158577     -0.0478766        597.673
     -172.329            268              0        9.75097       -79.7227       -253.302     0.00105402    -0.00906601     -0.0284396        647.501
