       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      168.074        75.0192              0       -8743.68       -47802.4        -402060        1.94011         10.534        88.5428       0.699728
      79.3251        74.4298              0        9427.96         120070        -655930       -2.06993       -26.3983        144.169       0.539468
      249.189        101.688              0        2.35729       -7.19755       -1095.54   -0.000403737     0.00182992       0.239745        31.7768
      8.34596        75.1366              0        5397.34        57095.4         262767       -1.18496       -12.5539       -57.7764        2.88493
      177.782        95.7342              0       -6.64055        16.5124        16268.6     0.00139399    -0.00358829       -3.57701        27.5367
      13.4365         99.178              0        32.1925        14.9732       -8072.05    -0.00706274    -0.00325166        1.77401        30.7145
      179.714        74.5568              0       -10989.9         112800         502137        2.41919       -24.7951       -110.412       0.882517
      224.609        77.9307              0        304.912        390.792        93089.7     -0.0655228     -0.0867602       -20.4754        8.84816
      169.064        100.024              0        12.0183        17.9483       -7746.87    -0.00271515    -0.00395181         1.7028        29.9421
      118.787        74.5764              0        7013.99         139527         467678       -1.54342       -30.7233        -102.86       0.871514
      235.361         94.352              0        16.4524        73.0153       -9034.36    -0.00369935     -0.0161112        1.98543        21.9989
      157.363        74.8331              0       -15167.3       -45848.5        -424002        3.33834         10.088        93.2318       0.308837
      215.895         79.321              0        49.6604        606.521        91223.1     -0.0114545      -0.132828       -20.0526        7.63392
      89.4359        74.6565              0       -13364.8       -35921.7         555412        2.93535        7.89374       -122.103        0.33367
      8.85914        79.5995              0        319.616        65.5449        87806.7     -0.0705556      -0.014695       -19.3037        8.72958
     -16.4337        77.0215              0       -128.796       -7156.19        48648.9      0.0285327        1.57347       -10.6965        11.6554
     -7.47573        76.2805              0       -1555.51       -14996.6         108456       0.342457        3.29634        -23.836        7.26532
      235.429        78.6882              0        547.983         688.95        54792.9      -0.120482      -0.151946       -12.0461        8.80597
      67.3403        76.7363              0       -213.295        235.228         191386      0.0470389     -0.0522756       -42.0881        4.09463
      132.929        102.097              0       -5.31124         48.223       -3984.44     0.00121872     -0.0105942       0.876143        25.8988
      186.238        99.6415              0        6.63359        74.8026        8030.48    -0.00143312     -0.0165476       -1.76613        30.1649
     -11.0662         79.139              0       -123.245        104.113        48692.3       0.027062      -0.022885       -10.7044         7.7807
      9.20464         101.56              0       -7.18844       -22.0348       -3873.67     0.00159433     0.00499025       0.850577        32.4478
      -9.4167        75.4088              0       -226.549        28028.7         129450      0.0499021       -6.16058       -28.4566        7.12814
      178.992        75.0126              0       -4773.26       -51390.8        -366433        1.05629        11.3029        80.5293       0.565134
       3.6619        75.4893              0        8268.05       -16578.7         209478       -1.82052        3.64483       -46.0431        2.06767
      89.9828        74.3222              0       -4840.76         211531         817110        1.06409          -46.5       -179.653       0.249343
      60.5649        74.6974              0       -1942.27       -54971.8        -528746       0.422725        12.0974        116.274       0.370671
     -16.4306        79.4125              0        183.488       -38.5008       -33400.2     -0.0403434      0.0087005        7.34007        9.94226
      248.381        90.2501              0        -4.1538        37.6817       -7651.95    0.000927291    -0.00823667        1.68227        14.9721
     -17.1609        101.699              0       0.245413        17.8497       -1683.28  -6.06114e-005    -0.00376668        0.36904        31.9503
     -18.4405        75.8275              0        1685.86        13724.2        45781.9      -0.370703       -3.01802       -10.0666        11.4211
     -10.1556        98.4914              0         -28.01        28.8058       -5235.49     0.00619249    -0.00628664        1.15094        29.1155
     -14.6696        98.3198              0        4.86354        26.3545       -4510.56    -0.00080484    -0.00580764       0.990255        39.2603
      57.3423        75.2149              0        1207.44       -42087.5        -353633      -0.267156        9.25497        77.7284        1.79037
      218.482        82.4887              0        229.113       -171.182        53285.4     -0.0499194      0.0374005       -11.7148        8.21673
      144.913        75.0483              0        9988.34       -32987.3        -361727        -2.2013        7.25149        79.5145        1.32227
      203.041        96.0285              0       -130.327        11.8712       -13777.3      0.0290023    -0.00255034        3.02886        26.3708
       226.38        74.6855              0       -1214.33        61535.9         254726       0.265796       -13.5353       -56.0526        2.57519
      73.3622        82.1157              0        25.2805        91.3744        79423.3    -0.00495896     -0.0198686       -17.4585        7.43505
      196.936        74.8177              0        15373.2       -34123.2        -431690       -3.38093        7.50382        94.9077        0.66428
      183.476        79.7392              0        553.808       -1208.43        -102724      -0.121518       0.266136        22.5868        11.8793
      250.668        87.2759              0       -9.99849        30.3232       -9025.76     0.00220541      -0.006735        1.98402        11.5655
      224.542        75.3192              0        1861.11       -14173.4         203326      -0.405464        3.11695       -44.7305        2.92774
      206.348        90.0834              0       -13.9826        -35.479       -26970.7     0.00282367     0.00795797        5.92794        20.6084
      10.6534        78.1319              0        464.241        38.7551         114991      -0.102153    -0.00812099        -25.278        9.06767
       7.1698        75.6224              0        8322.21         -18419        -240206       -1.83037        4.05004        52.8121        2.61355
      2.24373        74.5644              0        6031.92        68319.4         299230       -1.32635        -15.019        -65.774        1.96329
      21.5885        99.2075              0        -35.956        22.0622       -8723.13     0.00799193    -0.00483679        1.91931        30.2744
      165.256         82.307              0        62.9939        148.547        75313.6     -0.0143075     -0.0342093       -16.5582        10.9422
      75.4144        78.3716              0        1006.92        99.4912        -140294      -0.222138     -0.0248212        30.8472        6.44539
      32.7643        74.9228              0       -5477.98       -52471.3         410085         1.2096        11.5479       -90.1852       0.812551
       173.46        79.3519              0       -222.457       -1081.35        -111771      0.0491757       0.238155        24.5691        8.84642
      36.2117         74.489              0       -2151.07         125808         549149       0.475738       -27.6634       -120.718        0.66983
      181.983        101.973              0        11.7465        49.2466       -3913.26    -0.00268506     -0.0108439       0.860243        27.6075
      173.729        102.272              0       -4.67898        22.3133       -3423.81     0.00113293     -0.0049622        0.75259        23.8869
      136.699        95.6891              0        37.3062        95.5892         -17508    -0.00842193      -0.020969        3.84822        21.9331
      54.4092        82.9511              0       -33.2471       -674.794        73827.5     0.00701021       0.148172       -16.2324        8.54372
      66.6782        102.382              0        -11.915        65.2407        3493.59     0.00259846      -0.014354      -0.768372        22.3948
      195.907        87.7416              0       -95.9968        124.135       -37198.4      0.0205598     -0.0271938        8.17563        10.3868
      58.1463        74.8477              0        1222.72        78215.5         426193      -0.268522       -17.2024        -93.701        1.57095
      222.996        102.086              0        8.86255        5.39429       -2492.62    -0.00195498    -0.00117638        0.54793        25.9937
      218.791        95.9462              0        62.1538       -55.2326       -11064.4     -0.0137557      0.0121838        2.43253        31.2647
      241.307        75.4826              0       -480.023          18166       -88760.5       0.105984       -3.99236        19.5102        7.61049
      -1.5885        75.2912              0       -156.395        42535.2        -203699      0.0344846       -9.34945        44.7785        5.97024
      100.006        101.836              0       -6.44514        6.24854       -4707.29     0.00133664    -0.00159068        1.03522        29.4519
      34.3808        75.7604              0        426.729        -86.909        -263170     -0.0951782      0.0195932        57.8613        1.99973
      16.1311        74.7006              0       -6057.94        95004.9        -457156        1.33356       -20.8912        100.537        1.81758
      93.7399        74.5644              0       -827.163         123736        -564926       0.180764       -27.1991        124.225       0.981861
      103.755         74.923              0       -688.051       -40541.4        -380072       0.151229         8.9181        83.6105       0.613054
      68.9742        75.2602              0       -15800.1       -20677.1        -377975        3.47147        4.55592        83.1486        1.08029
      54.1839        74.5243              0           9410         134759        -622240       -2.07161       -29.6735        136.952       0.824766
      125.413        89.5453              0       -77.9695       -98.1223       -34750.5      0.0173542      0.0215068        7.63851         19.331
       15.152        75.2571              0        4665.14       -24494.8        -313257       -1.02283        5.38784        68.8689         2.3973
      222.332        79.1211              0        551.784       -359.166        80049.3      -0.121653      0.0791039       -17.6005        6.59564
       71.432        74.8994              0        11658.6       -34660.6        -407975       -2.56324        7.61851        89.7841       0.479703
      69.0564        74.5171              0       -6460.28         143026        -674466        1.41983       -31.4371        148.427       0.975626
      128.922        99.6888              0      -0.576157        36.1336        -8775.6    0.000158307     -0.0079806        1.92944        30.7686
      124.441        101.792              0        9.68169         60.839        4534.51    -0.00220153     -0.0133691      -0.996494        29.8093
     -3.42049        76.1629              0        5157.13       -15510.3         132597       -1.13724        3.41063        -29.145        5.31667
      111.574        74.5306              0       -864.512         107308         520017       0.191568       -23.5934       -114.326       0.730337
      33.4843        101.951              0        28.6796        69.3672        4108.56    -0.00675793     -0.0152488      -0.902746        27.6818
      -9.4166         93.631              0        23.5527        68.2609       -10662.2     -0.0049898     -0.0146135        2.34297        18.6165
      111.257        82.1878              0       -269.295        667.371       -77961.3       0.058954      -0.146991        17.1405         10.184
      82.1596        74.7131              0       -5846.31         -33729        -514711        1.28491        7.41817        113.096       0.347503
     -11.7004        76.6028              0       -1633.52       -9691.25       -71818.9       0.358416        2.13019        15.7892        7.08179
      82.9731        74.4984              0       -3845.46         135083        -679269       0.847565       -29.6973        149.333       0.879932
      164.991        101.952              0       -7.18499        15.4479       -4271.63      0.0015581    -0.00342551       0.939067        27.8495
      78.4111        100.242              0       -9.07676        11.5442       -7656.08     0.00208971     -0.0025709        1.68336        24.0267
      161.292         74.816              0       -11840.9       -42987.3        -469077        2.60024        9.46676        103.153       0.437809
      136.697        74.3738              0       -17650.1         113548         688803        3.87883       -24.9507       -151.379       0.357041
      17.3831        101.818              0        1.56751        41.9357       -3879.91   -0.000170995    -0.00917581       0.853479        29.4153
      171.678        74.7826              0       -4590.96       -42519.5        -455224        1.01733        9.37035        100.146       0.495364
      197.776        74.5883              0        6680.92         106183        -518499       -1.46764       -23.3473        113.991        1.15331
      212.215        79.4183              0        530.798        396.667         -90836      -0.116225     -0.0876072        19.9675        7.95125
      5.73443        74.6858              0       -156.875        75649.4         367109      0.0349369       -16.6297       -80.6953        2.59627
      249.713           93.3              0       -9.90352      -0.560385        5272.48     0.00220989     0.00014462        -1.1595        22.6783
      126.094        74.6027              0        13949.9         112593         594454       -3.06902       -24.7447       -130.739        1.19216
      246.903        98.0163              0       -6.32076       -7.91263        3211.21     0.00143487     0.00181148      -0.706263        40.5086
      242.533        98.4259              0      -0.690798        15.0429       -3654.97   -8.5027e-005    -0.00326732       0.802797        30.7079
      39.2308        74.7762              0       -8009.67       -40763.3        -454956        1.76226        8.96624        100.008       0.717583
      96.5976        95.1645              0       -11.6575       -26.8223        19080.8     0.00252324      0.0057954       -4.19494        27.1385
      135.738        76.7326              0        678.526        3283.31        -189578      -0.149616      -0.715101        41.6605        5.58927
      193.977        74.6027              0        88.7533         109266         513854     -0.0164421       -24.0166       -112.962       0.994542
      176.609        87.4363              0       -79.6375        182.884       -42041.8      0.0174428     -0.0405347        9.23864        13.7681
      129.115        74.8739              0         -16432       -31638.2         409059        3.61238        6.95362       -89.9124       0.703265
      140.319        74.4703              0       -1773.69         129894         664684        0.39174       -28.5576       -146.101       0.739377
      39.3567         78.175              0        517.239        3200.52         145782      -0.114351      -0.703168       -32.0504        10.0587
      150.453        74.9239              0       -2529.31       -32090.7        -398062       0.550275        7.06075        87.5144       0.622679
      123.006        74.7175              0        915.336         102090        -522101       -0.20331       -22.4509        114.798        1.53384
      124.915        75.1202              0          14428       -60767.6         381723       -3.17309        13.3615       -83.9606        1.32835
      46.3863          99.77              0        3.39241        43.3323        -8683.7   -0.000980165    -0.00968026        1.91056        26.5508
      31.8236        78.6357              0        551.799        1951.16         127046      -0.121106       -0.43045       -27.9349         5.2897
      117.764        75.0838              0       -2414.58       -52751.9         371752       0.521462        11.6216       -81.7695        1.33612
      113.042        95.0148              0        34.8153        65.2963        19082.9    -0.00765822     -0.0144854       -4.19563        24.5057
      198.658        101.962              0        18.3508        72.9594        3518.92    -0.00395796     -0.0160102      -0.773321        27.6525
      248.323         77.483              0        -215.77       -3736.44       -29144.1      0.0467143       0.820954        6.40525        15.8674
      250.456        75.8156              0       -607.987        5471.69       -30874.4       0.133415       -1.20311        6.78382        11.2218
       104.48        74.5066              0       -8018.46         128329         522614        1.76666       -28.2185        -114.96       0.778957
      239.293        102.097              0        20.0893        22.0618       -1487.32    -0.00446326    -0.00481161       0.327006        25.7057
      71.6679        78.9837              0       -151.071        313.186        -121742      0.0330346     -0.0686277        26.7609        4.93748
      12.2534        86.2949              0        77.1419       -32.6658       -39988.7     -0.0170829     0.00736774        8.79008         12.304
      153.768        75.3732              0       -2563.72        1054.63         299693       0.565749      -0.229743       -65.9258       0.659086
      148.127        74.6992              0       -7651.65        94180.8        -454496          1.683       -20.7014        99.9338        1.32781
      148.745         77.729              0        229.166       -412.551         158763     -0.0498507      0.0904124       -34.9151        3.95485
      144.968        96.1877              0       -28.0412        4.06961        15957.6     0.00631855   -0.000695256       -3.50733        21.4045
      218.661        100.366              0        12.3302        45.9365         4806.5    -0.00278394     -0.0101059        -1.0564        24.7268
      222.846        74.8336              0         667.89        63105.2        -303190      -0.147746       -13.8708        66.6467         3.3492
      245.361        75.8674              0       -944.291        9721.54       -48782.1       0.207091        -2.1355        10.7241        10.6505
      202.996        100.126              0       -25.4752        28.4887        6269.43      0.0057156    -0.00619813       -1.37841        26.5729
      168.844        74.5251              0        5153.91         120918        -561798       -1.12881       -26.6485        123.803       0.671098
      201.191        74.4522              0        5499.51         113106        -626723       -1.22016        -24.919        137.974       0.639876
      107.357        74.7736              0       -449.368       -47660.7        -479780      0.0959534        10.4877        105.538       0.465295
      243.455          77.15              0        1443.17       -6287.03        47076.2      -0.317645        1.38176       -10.3508        8.43477
      102.845        81.1859              0       -155.492        503.765        87690.3      0.0344445      -0.111187       -19.2812        8.36485
      207.002        102.364              0        7.30083       -7.91459       -2640.33    -0.00159734     0.00175058       0.580188        22.5677
     -16.4208        84.0464              0         28.149       -5.11021       -20334.9    -0.00606553     0.00117097        4.46881        13.8842
     -15.4921        90.2076              0        25.9224       -12.2437         -12178    -0.00607522     0.00281562        2.67398        25.6881
      27.8882         83.407              0       -96.3022       -444.807       -64973.4      0.0212838      0.0981885        14.2813        13.4876
      50.2769        101.939              0        1.15336        64.9059       -4367.74   -0.000186294     -0.0143714       0.960827        27.8928
      147.224        75.2307              0       -2938.83       -44404.7        -329575       0.651031        9.76649        72.4621        2.57123
      91.4968        93.2567              0       -71.7539        132.649        24089.4      0.0157597     -0.0293978       -5.29598          32.89
      26.1058        81.6956              0        226.215        32.6568        79996.2     -0.0501532    -0.00710203       -17.5809        11.4411
      74.5312        101.978              0        35.4997        50.9618       -4302.73    -0.00787749     -0.0112059       0.946059         27.287
      70.5415         100.16              0        4.75145        77.8622         8062.8    -0.00106652     -0.0171768        -1.7724        21.8177
      132.129        74.7533              0        3583.34       -42244.4        -443930      -0.789508        9.28633        97.5936       0.588354
      122.057        75.2341              0        1560.21       -53676.4         359646      -0.345773        11.8045       -79.0939        2.25927
      160.662        99.8975              0       -15.0008        43.3098       -8119.58     0.00324406    -0.00954119        1.78453         23.722
      154.478        77.2624              0       -10.8898       -335.075        -171152     0.00227532      0.0738644        37.6268        4.22898
      188.194        77.9873              0        518.338       -118.137         141470       -0.11395      0.0252659        -31.104        3.11829
