       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      447.445       -104.966              0        -4.4958        9.95346        5931.57     -0.0262913      0.0578927        34.6923        54.9607
      450.147       -158.585              0       0.567692       0.658031       -1142.84     0.00267616     0.00474961       -6.67989        128.347
      448.393       -73.1252              0       -30.2706        40.1576       -21065.8      -0.176901       0.238136       -123.208        14.1979
      530.884        190.781              0        1.46282        1.09792        1.89394     0.00849419     0.00638636      0.0110564        378.192
      533.708       -137.275              0       -1.45751        1.27952       -102.758     -0.0086679      0.0076664      -0.601294         210.44
      444.957        79.0559              0        33.5571        22.1508       -10707.4       0.201341       0.117562       -62.6304        18.9952
      527.467        149.611              0       0.765478     0.00855739        78.2005     0.00469265   -0.000116858       0.457079        215.698
      533.715        160.699              0        0.44438      -0.181904        30.9356     0.00249213    -0.00107191       0.180722        232.214
      444.333       -68.1527              0        759.143       -703.069        39410.8        4.42707       -4.11383        230.491        11.5359
      449.303        7.24389              0        -253.64       -100.422          44194       -1.46558      -0.582737         258.49        8.74237
      524.599        178.129              0        2.16336       0.522713          35.96      0.0125394      0.0030301       0.210083        401.579
      534.412        95.3598              0       0.868814       -0.63673       -58.6911     0.00522587    -0.00376489      -0.342806        164.909
      443.749        105.072              0       0.428477        9.64742       -4028.27     0.00417973      0.0569144       -23.5652         37.803
      474.859        -140.07              0      -0.743103       -2.01836        1248.81    -0.00423159     -0.0120974        7.30226         86.524
      443.397        20.4257              0        7245.37        -30.158       -55529.2        42.3671      -0.183351       -324.701        6.62309
       448.56         193.16              0      -0.157141       0.814041        119.213   -0.000764262     0.00486268       0.697521        232.677
      443.011        66.1542              0        4715.16       -1032.37        31720.2        27.6233       -6.03628        185.531        14.2039
      531.742       -29.1268              0       -1.10698       -1.97522       -443.063    -0.00749129     -0.0117959       -2.58965        93.1253
      535.542       -57.0493              0       -1.96164       -1.52352        227.596     -0.0112269     -0.0096506        1.32867        126.064
      442.127        -57.315              0       -35566.2       -1587.68        -157113       -208.043       -9.31312       -918.729        6.74096
      444.783        73.5294              0        16.1757         21.309        14887.1       0.093544       0.125187        87.0744        13.7047
      444.843        85.1773              0        2.15357      -0.443698        -8099.5      0.0129124      0.0106217       -47.3748        16.2726
      447.437        109.932              0        6.95656        13.8026       -3099.51      0.0415513      0.0835676       -18.1193        47.2121
      446.917       -6.51208              0        49.9999       -22.8353       -86235.9       0.291495      -0.177275       -504.502           10.7
       445.05        92.3645              0        2.61028       -4.46025        -5981.3     0.00888638     -0.0269888       -34.9931        26.9063
       500.94        190.326              0       0.227965      -0.639146       -49.9811     0.00144408    -0.00354233      -0.292971        367.153
      443.057        76.2002              0         28.827        51.8516        14354.2       0.172092       0.303465        83.9339         16.618
      512.206        177.673              0      -0.548078       0.641979       -77.3278    -0.00301964     0.00373547      -0.451788         309.85
      515.069        17.9215              0        1.14495       -2.42481        714.725     0.00685065     -0.0146025        4.18076        116.839
      451.378         87.263              0        4.83168       -2.02585       -5498.06      0.0294657     -0.0134216       -32.1565        22.9227
      445.857        100.774              0        0.28311      -0.553626       -4347.48     0.00213783    -0.00776443       -25.4237        30.1296
      443.462        59.7447              0       -4612.06       -132.446       -48494.7       -26.9499      -0.777477       -283.553        8.09175
      445.543       -149.994              0        2.15867        2.06168        1592.81      0.0121977      0.0116321          9.311        112.487
      527.081       -148.565              0      -0.558005      -0.770765       -166.218    -0.00333741    -0.00461897      -0.972407        220.173
