       x [um]         y [um]         z [um]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]    Area [um^2]  
---------------------------------------------------------------------------------------------------------------------------------------------------------
      766.977       -107.668              0       -10.3758         21.008        5726.73        2.27958       -4.61554       -1258.11        43.1683
      820.541       -191.281              0        2.24583        3.98451        90.3963      -0.493399       -0.87533       -19.8591        328.972
      780.219         121.54              0        1.48791     -0.0262883        1583.33      -0.326968     0.00565106       -347.841        52.7827
      851.146        190.977              0       0.940134         1.0118       -1.72379      -0.206536      -0.222276       0.378691         359.48
      854.163       -136.907              0      -0.974697      -0.794521       -101.063       0.214127       0.174601        22.2026        194.783
      767.537       -69.2918              0       -125.672       -52.8577        29787.8        27.6098        11.6118       -6544.08        13.7976
      762.345       -67.0914              0       -6739.71       -245.071       -63867.3        1480.64        53.8405          14031        10.4821
      834.694        127.234              0       0.605489      -0.995028        -236.79      -0.133016       0.218591        52.0205         168.17
      766.129       -135.905              0         3.2872        5.35146        2437.28      -0.722188       -1.17571       -535.448        107.617
      854.439       -160.888              0       -3.42464        1.18897        59.9776        0.75234      -0.261194       -13.1765        202.555
      762.821         66.868              0        3723.14        -410.94       -34511.8       -817.935        90.2797         7581.9         14.075
      796.724        192.788              0      -0.174452       0.869853        66.4667       0.038313      -0.191083       -14.6021        260.401
      767.421        33.7309              0        101.664       -18.3205       -2910.62       -22.3336        4.02468        639.429        8.96244
      768.746        192.916              0      -0.291085        2.57596        123.554      0.0639372      -0.565904       -27.1437        246.929
      782.122        135.272              0        1.92984      -0.297679        1071.05      -0.423904      0.0653844         -235.3        94.1089
      763.421        78.6975              0       -25.7625       -33.1831       -12600.4        5.65957        7.28989        2768.18        22.3566
      770.711       -40.7871              0       -20.2899        18.5808        53833.2        4.46096       -4.08299       -11826.7        11.9215
      763.385       -31.1101              0        29426.9        1264.76         193062        -6464.8        -277.86       -42413.7        7.91448
      778.505        109.385              0      -0.607446        -1.6206       -2246.87       0.133577       0.356313        493.616        48.1907
      769.169       -13.6556              0        297.941        17.5087        74118.7       -65.4547         -3.843       -16283.1        19.9692
       761.45       -18.9086              0       -95444.5       -5993.68         435126        20968.2        1316.76       -95593.1        3.37265
